"","G1_1","G2_2","G1_3","G2_4","G1_5","G2_6","G1_7","G2_8","G1_9","G2_10","G1_1","G2_2","G1_3","G2_4","G1_5","G2_6","G1_7","G2_8","G1_9","G2_10"
"P00015",12087.6751821301,92106.0265052697,8520.09005775519,3940296.30934357,242738.39851002,23328.9980007876,498533.096341159,132780.334603801,662057.105887876,303720.753130624,19197.4223896161,393536.344043524,462516.710680674,179706.946531012,9539.02599070936,19483.2388261396,161001.892646553,114378.325803718,163818.451590767,98604.9025507059
"P00016",7578.35456362225,98268.8264405951,97026.9230501466,317731.957039332,212722.45505104,13118.3654042468,262680.309757987,96559.6158222687,275627.107871191,320033.061308468,53655.0967822757,270691.772951793,478888.846444579,220121.064982978,36781.3806836302,147090.876169571,167337.574111551,147121.235214786,75369.616587566,75496.5072714894
"P00017",49327.5377493182,110771.310241824,24765.4004687295,490554.121752985,274351.887620244,71651.6876119323,179425.920345015,185319.238191127,760094.208490179,269933.213773167,36809.1834562344,406231.694420093,477587.6684119,148047.626761923,31530.3605053055,35242.8416639302,188576.749911714,174870.342253014,165190.582968721,156794.476945392
"P00018",1520288.12956573,30657.194983724,137859395.969756,386025351.616682,162073995.946251,9270822.99107578,925236539.11171,2072974284.87856,22763722.564285,44265.2333377895,65687752.8486466,654080.669050963,178630.506066201,74774.3605876262,7313794.42541928,50173028.7888989,203064.530459912,9488446.96544137,581631748.807482,397810.845960836
"P00019",506172.670906924,41771.049810868,33229557.5466639,99653310.811059,28340817.3391781,1694584.72928818,39896908.4890141,45154298.5838817,15609530.2403989,110243.852304393,15935748.3479434,609111.893775764,193390.329831042,93280.4802553776,2917399.47195948,7752851.93632118,204027.876809942,14265544.2216173,26071098.7673807,223927.767034868
"P00020",1435.7809629626,102503.62564935,666.097803697132,99367.1071499585,9558.80368070253,24585.2536831376,31771.6938009036,34940.2431077446,27107.9007548159,320906.752348145,435.926201039437,329816.713666234,263562.551435433,215136.876668835,1551.62646614706,6054.85909592347,60300.9753672791,226039.415063617,2011.57800915584,120925.569462514
"P00021",167859.781983859,97383.2768869774,422298.462209448,1200262.63645136,1072292.80319008,52931.0573286749,1952717.34241913,245566.783590311,1049594.96953275,199409.55980716,60155.1319485098,514808.115601497,428018.122731807,215932.420758211,100763.518335631,245097.593960346,193046.56999622,1637622.87809683,364652.154606859,149641.715046513
"P00022",3287.02318208141,109945.560569631,27196.4807576058,343202.355847652,489106.474220802,22231.3969375199,478947.931517917,347703.035298268,555843.841628184,323285.543639025,27390.2108539309,399810.75736685,446647.675747547,213839.635746355,13144.185466102,25352.2842302839,176638.667166946,55299.8345963763,46225.0067856544,98955.7064032672
"P00023",18617.8206548073,117578.922530645,17686.2051385775,136820.240687715,102429.400350365,65754.9142334147,59464.7798305216,50803.3066940292,238450.228203948,310956.4401569,14328.7884459459,372695.695748944,374703.707070003,205136.749569764,17259.0655057519,12097.5080384317,120450.33426284,94873.846946125,35481.4667544415,103010.460466341
"P00024",105834.919587289,56070.9388204197,4100080.88805479,464975.756748131,821610.188930118,307090.661429816,989925.22632854,74542.7259582321,1126749.21132312,149534.776048313,162259.791890088,549707.366104729,475093.953463707,218681.755121771,316935.637586863,218382.82528969,180602.646559619,6964014.21077159,2282262.30858927,207276.23319703
"P00025",184716.158665202,114339.640420355,2018989.27605831,3902093.34321463,1979064.86141806,1084112.41349702,5065515.60166415,244261.422510782,1724319.85558618,133478.03792369,142342.854859206,542396.424291408,401407.62588047,172016.811207533,215977.481807023,1129668.67142599,186691.855648805,3549170.98279387,17063689.8530271,171552.775686271
"P00026",57045.321069382,90136.129235665,74285.7008588725,150898.941955894,278687.065741484,111018.017745576,174681.776789056,69770.3831010337,805080.564675707,172525.206824218,51159.1112738336,405534.323679054,474501.123002698,171605.842533485,199112.123864422,201055.636888809,177687.29565083,939295.451089932,92180.7403037245,160079.366736883
"P00027",135741.980266389,68405.7465192824,1456190.956002,5763443.72563187,4514154.67852668,666866.837813598,2075292.64983086,26892162.0243789,5702182.62054001,90374.8265793878,5965844.417484,562696.765148789,405064.803057086,139801.242768777,426346.111283437,5822333.08984687,199005.602201427,2146607.38836289,5800015.22618763,263989.333351885
"P00028",9905.63773625442,110667.837583393,58986.598993787,760450.246747854,1187793.32613464,64711.7627442903,8449065.08263554,1045085.66585241,407778.310140769,254519.408588068,128094.866580405,499380.793953038,382228.08021927,195891.946685805,25823.1268508233,322666.081404663,183799.185465154,280617.214986947,562202.323451564,95748.9334108227
"P00029",27982.132621603,117901.772022155,442554.900720369,669979.326312094,258295.268458453,112538.525059709,771008.528756639,232162.429691887,2052903.402898,288467.11617203,9197.66650800966,438259.280262903,473402.605886885,182313.33611975,21928.7137497902,126702.740108702,159518.172641289,677641.085195656,63578.4855905841,151362.547155751
"P00030",4893.35163882424,114601.854804053,48447.5207085282,2292307.07301002,85746.2283617193,15190.6218158936,77310.7160505429,128687.483720841,949217.751807964,323961.995950113,40848.5143618929,373930.626405806,477347.433340492,215720.019507112,2498.99222185402,37628.6519192196,183045.973831011,90118.1320469528,14475.2278501014,94203.2994293789
"P00031",1061609.86093817,48237.8670741931,155231373.827754,459119.733118924,9981857.36176879,1973212.17569991,42313506.8849051,32200338.1422115,4705627.9165043,55997.369823012,697332.702715238,622368.212097575,283580.77453198,145729.001129137,12524941.7279661,2732511.99965121,206903.146527293,21434928.5098564,619861999.15674,254051.385422367
"P00032",300407.543643303,84873.8628181687,7361042.99877503,871686.271990164,1701809.74026346,1058219.16067305,8963549.12280287,2567301.41384737,2657690.20841638,159866.791061323,1690030.82495568,586297.423304505,422549.807604626,201405.394077965,965315.619696508,1579422.35674129,185070.964942319,4048223.4405781,14481788.2834865,205011.402487376
"P00033",25158.3387354601,115323.427730561,1605435.87961112,16633412.0240848,2337968.5413505,38494.6255477745,1258569.01801377,5789645.53886521,1602058.76648736,236721.869364794,201299.014424225,529670.662272979,373970.242298819,124404.289450017,181879.4672678,3384619.95994034,205974.631121296,408562.279672025,56025.9383229813,206079.564186761
"P00034",27920.4989398927,118222.111594748,93078.2241226904,145881.468259427,213083.230611574,40216.9563240285,1933940.31031842,23541.1962104818,953659.970752805,254644.389751921,63884.4748307406,461304.842961911,475453.759561328,222467.015591369,223314.748663635,6696.14164416162,183952.93319624,327199.382171335,283617.625660657,109589.310487948
"P00035",1680270.56196721,27162.6279072689,3624827885.62709,12537337.763376,32887121.5028277,11383311.4290729,540773793.349884,521468999.626123,13696756.8218795,41177.066245613,21511463.7267681,675971.881759538,141690.064404149,102690.889354368,16415379.0023655,10640760.5419522,206889.041418333,53942884.4062522,283879348.933969,483769.030788187
"P00036",33156.7873953761,89580.6685230585,118039.55294666,389872.137289235,137797.744342331,67990.8645336583,522250.078698233,96387.0226697944,618201.179879992,290829.841467301,72679.0386748975,448349.068916064,470925.801873552,213498.868672462,12943.0011760858,35887.1273811134,186587.900905509,153075.404615178,11264.6572082613,136023.209776927
"P00037",652984.407418516,50849.157545963,184128487.961871,32952459.2972851,6834141.15610065,2160752.01312749,343652096.340078,105200582.373372,10755114.7250242,57869.2330506226,11490943.4599909,620903.372289097,196140.743827402,96921.4540277687,21934337.954599,43828899.2858356,204333.274447736,42519168.7247797,30512179.2861369,306489.208053398
"P00038",113802.026414505,58542.4055207791,200686.97530831,605612.551278605,3268442.2687493,602468.633874453,1395450.2118615,4882095.14531646,1882357.11890764,180309.553441558,462791.3855791,549666.766591691,412608.079739094,216068.324939645,673192.096144701,1768988.54221954,202792.564284159,3112153.7488507,13601118.9345692,171264.879962652
"P00039",27248.2248210831,118184.31710998,1170801.82123967,246743.595003163,316758.428442489,176822.147185215,1125284.22416427,52298.2283418523,1396527.31914835,231831.617387634,49819.4726677612,563822.494738139,478029.334098836,223093.794272796,194088.186333064,232311.739215221,192982.956225218,2495586.28806532,671094.49590068,118299.798486413
"P00040",137937.722895539,44848.3265076347,14866008.7777922,50551347.0080858,903061.174886847,367556.063497273,7325765.5817061,5949267.96827757,2070346.63382089,203871.936614808,2996329.44900662,552113.047732251,251815.528863796,126396.767036174,47988.5028256447,1535012.75067377,206789.16142995,991030.809291925,393257.289379976,221066.514312707
"P00041",3549.78643179712,118305.65889522,94239.1707185768,227341.784715647,83571.0377016845,11944.4845942945,179330.197744844,46866.3965443893,128932.023079475,323844.66564948,8281.27651730859,355136.497381899,477125.648922497,189563.298711507,2428.19329273104,11423.0756097361,130572.769024171,59621.4878136125,5358.48305774452,107816.401413135
"P00042",4708.71273103034,107997.625604678,5529.2408528559,2020830.02270998,93662.9719258235,5915.35008360251,266780.839721486,36949.9952729517,817847.753401654,294799.831786466,41959.4928301827,235472.03889199,470218.455802662,218276.805742906,1525.55737893245,57584.5202163414,182857.928706206,92838.5906479297,13443.2078210719,134817.05804945
"P00043",352010.700740739,38407.9126211397,19846569.2891016,27376185.5230177,14415077.2751231,697905.539239183,36427435.0895054,43916759.0414921,8302029.88542455,106602.499103255,1809226.18109121,637859.040890453,181841.459753324,109441.533148053,691330.58112834,6400682.75637991,204496.799433188,4106904.09021177,12251508.0983941,301066.699851479
"P00044",163438.679769173,37752.7585695169,14584684.3377833,209654.212197945,13110438.7835808,1405427.4915954,13085087.4998643,8142488.93931106,2680396.31048325,114572.213805461,308385.290355384,596920.595777626,350130.137764105,170836.125130038,661611.864530837,3932891.03936853,199347.45285207,10337283.1001181,5555543.79849124,271754.596550061
"P00045",46034.0224702483,48009.2308946625,2865287.82047494,11203486.1221628,719146.887236463,244917.831854686,15635790.5986797,13891870.2320549,4680703.32534251,187860.661129342,399171.21397511,601136.256808855,304775.648426348,125721.927857113,63507.9735374157,936157.197361775,206983.31201392,2263380.83141061,256982.809512402,216556.750025058
"P00046",80205.2581344369,70468.17012528,3527260.25222864,2387655.70755757,291941.538900965,333125.521170675,860335.832496485,6755012.0976991,1998880.46300866,124611.390454214,90507.8412372692,563237.448437435,377526.202740607,222789.436672147,172867.064270132,480511.123723665,198222.537695389,1464322.31471366,1010592.36898408,202644.691282609
"P00047",187175.296675355,74552.2580749069,547361.023781229,1037216.14278878,1003893.88642341,290745.138839414,13817688.0440836,7112373.64974579,3108438.93904064,152773.433112255,400806.276598191,560093.663819109,431009.645873962,203874.884284623,1200457.2157013,414942.81837042,199611.797856284,922628.197959929,239353.172070445,194210.149301009
"P00048",27407.1809228344,113398.355459031,188054.260793357,33712.7165554084,18655.1094288572,58933.6175905252,163658.164868021,26520.0396181757,289592.866166885,320816.408097111,4620.00835262156,379634.500162435,432494.585670131,187170.369797049,21021.6678384857,9505.19974485664,126254.981351034,92552.9724912091,82261.5327901173,76716.6839388143
"P00049",235387.040058577,64786.4940384285,32130167.2341539,3471195.8162537,7805416.42786615,536958.506878684,6290068.52352688,10261510.8138088,3328694.08132406,107640.343785315,477403.880580487,540468.244243004,334774.355599233,168953.246449722,1934858.03371095,1733856.85379346,199253.162692936,2401591.43673061,1545106.24152874,236623.336964442
"P00050",664942.893340898,44445.1377936686,6087185.92739737,847435.574600629,2990687.59796628,2005846.63603583,14971107.8365867,1505914.68207605,2411455.40725435,111788.363820683,2570121.45298106,589513.064769976,333577.997808192,155587.39683619,2512983.44436162,3020588.34966539,199802.404611068,8897779.41142723,17677947.4085511,194101.998826525
"P00051",276155.304246996,37423.7288785816,70675909.5216781,1794917.21568716,8981733.05708623,2139461.50192054,8967641.27187588,5678848.84140871,6631524.61560351,85402.2101593748,682440.562320772,635315.605870093,284828.301381262,164630.339787166,13604895.6837909,12645375.8842235,193781.726354617,9805576.10384975,31404818.3363328,261029.876440303
"P00052",2008257.61920959,29368.1536329268,56734325.5627802,61206864.7173507,27453756.5434585,3830173.68584157,226893504.089204,170126314.86973,16515379.9202238,31059.8776641312,17858709.999949,595270.972722784,171847.470692485,126862.561594249,14985244.5157595,83973820.462826,205409.976166782,14095468.5148822,17748933.5048511,321958.20747854
"P00053",119838.72129818,40132.1568155373,6131933.69608752,3611172.54379613,19854554.6300779,605027.817557756,25557601.4572684,10453465.6999319,8015862.30175088,94392.5368848158,3698866.31624215,572158.599231312,360105.095474312,127566.885687298,1023046.69475269,1577660.97160099,206765.705273129,2826947.32066962,29461666.4864033,184870.842894791
"P00054",10713.5520614229,96628.0452227036,424296.418957557,1633358.86867409,385205.247705365,37011.9235582086,120673.479804531,542320.049504145,212163.371568447,306511.299465406,242745.146544747,536348.773427691,459917.53470836,196462.523163083,7401.03710852574,60135.7675122481,199757.416613317,107898.518086531,134345.241666739,151906.659386216
"P00055",8703.88625985329,118214.388093859,8724.34789176965,453912.935083341,24482.7089908015,36457.9386646327,262736.065856003,114964.75309515,340462.702279223,323607.690637777,11885.9079430144,368355.775771238,469156.908065268,223090.784742062,40496.6917181896,23795.5064560547,140028.326093944,156738.684370174,20188.0946055851,97575.4189833629
"P00056",317338.614842338,55188.9606091502,1794798.40614029,6669280.14982309,2894925.20182861,526766.842706618,17966573.0015864,6085003.36080579,1899619.59868874,168812.696741495,2119064.54526823,564345.308246221,194350.976383354,141034.217294,333532.59220772,2823785.98418701,199467.039652502,2751497.74963645,23550399.4007645,231427.639701324
"P00057",17012.3780573374,113877.968548613,144727.316452891,636451.5855121,211585.35139758,44221.607573641,245852.270966548,78548.3951699828,517801.155078673,324292.884774474,52004.2627179045,402279.65593082,471510.73972978,191823.917157423,3879.200317345,25333.3589434378,170264.523518181,311197.062881839,99330.0125641512,130663.965435336
"P00058",27112.8648219905,100734.999390472,469635.255722185,1091689.50708606,318648.599886275,107522.100026583,346510.464133431,104271.941593465,704932.6815361,211995.123158033,108164.957767192,445992.821950992,449670.259061209,202431.150620443,37021.8060360708,84477.8614005831,199376.493661055,1153015.3569928,607836.588138934,128177.737559338
"P00059",24278.4297070565,96807.7880325129,162585.943117453,9714459.87038136,215407.353182911,38643.6289171781,1323209.96805099,7354966.60821831,1640860.45542771,262196.368621684,454953.972358352,448016.286918896,438752.590856162,187397.361185493,38496.7118736385,168606.672666484,206447.159802037,4641289.3192839,756011.524875501,157292.561213744
"P00060",139089.033134406,70454.4322597727,4979697.50071417,1696738.69138223,11572710.7593604,885067.028450257,5028419.33302428,17735106.6855528,6373468.979994,150417.030515462,2726048.32624968,561624.219310957,326109.337163813,140200.758393723,541028.770210452,7631806.99988866,202363.467492758,2719517.52617407,52651769.4498252,220142.321159317
"P00061",211014.320515305,41791.1351165434,19260026.0228662,422001.932324289,2174026.37290376,951017.048442807,30062292.5102312,79229324.7611446,4315890.91679639,89481.7252015126,294198.470515117,544419.612972553,347522.650020815,112103.103139892,2339521.4940839,4444972.58916984,206301.824133064,3188426.53337569,31383378.9509414,226563.432065631
"P00062",157255.965789464,106488.325201614,1523883.29029985,4736625.79639997,3203129.14264634,343200.620705786,7711946.29618004,36067047.184363,5530352.45295785,207560.430954588,1596616.75273069,544992.578154175,381138.923764819,168196.723448862,523563.42408251,2871965.44185755,205858.867515771,1045354.02584326,5688804.39744379,240926.393148796
"P00063",78880.157081821,71811.4747573524,276253.050200715,1111787.20893819,822940.872021282,212520.315985633,758147.884209047,328900.832253176,1123020.72901667,216060.393293906,561043.425866102,515429.914890294,475381.715134786,194796.540795615,42963.0081685151,115050.914028185,173601.261606737,3398465.54678872,362070.572696904,159677.762504122
"P00064",10949.3984452327,102043.750079593,36909.0392936501,93657.1455394509,57815.5183160885,383754.064493905,101467.617359577,1503915.86716021,187222.356791983,155266.058200931,9808.95873712891,509873.195572708,441699.274095551,219126.993963315,37922.6474318477,339527.197619406,126769.934937383,636935.519083702,79778.6076273851,187833.830155499
"P00065",170054.563395264,60150.4321678631,3372740.57768264,4374817.83908729,2140037.74513531,1224910.13568466,3909004.67814767,3484371.74261398,4272521.50048574,213491.582935709,2187172.87462924,602295.366754566,412925.802526164,194022.166226759,262528.266878362,7732478.52029459,204267.586842591,2921212.55993441,5467504.54389548,276141.778834975
"P00066",14321.2107367114,111645.222774579,424310.042786039,979453.244043566,262833.409699737,17313.3358000122,639521.830473265,56982.6002941702,457245.13056898,293711.959880636,235508.680054074,358412.348080782,409981.373155559,168637.079247412,12020.1701574995,84446.9943378777,197505.476642628,153854.73392252,65981.8242459246,147410.396450209
"P00067",4920.10167382566,116172.316959124,19920.4072962222,96289.2769625534,242378.279051298,6128.52108275232,156252.919688935,7633.06750122094,370977.349956534,312523.892945211,8369.21385554048,293160.798700128,474659.430457054,222346.800266261,1418.12006474999,36707.6626271822,148356.189072299,40198.9837470771,7429.95532626654,96576.4118498644
"P00068",94434.1125772452,58071.146062488,3998837.4362273,6187968.78738258,3470695.50763427,1129371.11166092,7665517.16458077,6294988.76755184,5757675.22276008,116556.557106295,1800784.42039019,586543.729686944,250349.131501354,149215.055976742,108263.594617709,4326003.97353196,201742.954140984,3562851.6244807,795867.779838956,176473.711068859
"P00069",83184.7905149247,58832.1093281713,1942120.57968327,433233.390139518,444000.136066958,396339.889940667,7367155.19204429,568545.270605764,1751218.7614755,169681.007682973,23602.1761032312,484598.760583245,459940.275096153,167124.843286279,445404.361195195,860238.223990374,180032.393205606,1309506.11165096,1281426.18048019,206938.333720786
"P00070",21638.3344309023,115814.418698007,166970.76064267,267356.89612361,59848.2072375974,37665.8045104722,277165.675744779,87761.7397446492,412596.146717277,314127.324653061,15355.3350798245,412494.185160031,457297.498348034,213745.057744477,23573.3643947107,37646.8420885333,178348.735855026,285137.751452255,256159.468658707,112000.317285667
"P00071",86196.5130989564,46203.2485915398,5324183.05012183,4992790.93045919,2334315.62603967,699028.112042759,1933658.67068468,94125973.9744702,2272825.42331591,124568.129608976,271464.223979955,505308.272160946,358039.121732242,141637.576949161,906670.332812846,1412929.48596472,196334.767334387,1252227.5892086,7318614.32140755,248547.777706264
"P00072",110556.489313653,89040.8533959035,318398.50404595,265245.323857779,529186.669626092,139567.557403904,1124000.95494313,242709.294781704,1901328.73872485,203798.431679058,47994.5680936385,392530.000031953,423056.829552677,208938.610872593,107534.144284387,327236.966712075,199508.629138146,749662.912221991,175074.220104655,152984.291513017
"P00073",128125.548872162,62732.9416703606,14373535.5160633,955538.127171467,952076.896954761,403736.124677342,2642459.26218042,1789192.76291123,2957485.350491,187056.029064847,290584.508116061,520578.940948346,417620.138360299,142919.285309828,131330.584412504,3015436.21583182,191007.787165281,1287388.38625865,2692826.8854792,228798.299760586
"P00074",297130.810978943,45071.7422697036,3498420.61483532,38134667.7000089,19828414.0693123,862891.700788921,2540504.4462846,30074824.2951953,10614743.7505017,93867.3672495117,16727171.8745123,575216.73641347,272378.99521927,118363.210622458,9521825.71762481,7765353.11661821,206001.355196312,8596886.13000189,68099816.3888251,294109.146600682
"P00075",141249.49849234,47058.341955746,41062130.3436993,409906.703679657,4755084.63575951,2566511.15057533,55995982.3874112,4855493.13382473,5830830.4881,106827.769309468,4936535.9048702,606373.133363145,389982.188061991,189287.358631813,56511919.4832926,10548515.1146028,188619.588214085,10505003.014999,524057423.641393,219590.111481207
"P00076",13410.890510001,117440.044971547,58417.2020242068,257432.223420164,69471.6940097148,20671.8732802299,257410.457857015,26171.1542408155,333341.848880498,321527.264426049,10065.0214607379,353035.805675763,473631.338751389,221149.534340596,5371.37360300596,13903.9062974638,144643.333842608,63189.5752050852,19443.4855772252,139100.521485468
"P00077",90005.9841671327,75674.5104012266,19768464.2443502,637949.773239475,3749656.97593644,851551.862914049,7765515.87186642,3765032.62857447,2145654.35251503,160312.478874178,3667299.20556429,541730.146028651,388122.505950294,182400.343052247,61119.2655531763,347232.782935387,201361.107510039,1168606.39897407,733963.195486431,177727.753211613
"P00078",13210.6911477997,95157.3471387571,706587.896204737,5467004.22368317,113030.909620989,119129.176181058,1299239.83807292,73913.4784687377,1382703.14814706,151804.74816566,220614.285432644,480280.819465833,431952.068695902,197146.591884527,230995.004197949,889441.142879004,187961.145394645,391723.881598206,39279.1660083576,165603.788725098
"P00079",1995.35918257645,99939.0602353478,3906.6443241311,38179.161161468,15432.9254624828,1408.98169264771,9486.42789404314,6218.04163051866,110773.363406493,249939.230761315,6857.63409650032,131859.457738802,371122.295280231,150948.785607444,2965.24623079184,1657.59008086772,82788.8538928369,23038.8339879488,3714.6864998776,64630.9274917806
"P00080",19067.4249000938,90814.6028553144,61416.0399866858,19832.0332983057,81038.9758798315,21420.9589438589,91206.3404371183,22116.1615476958,469875.593434344,315044.621811035,4137.38838208644,482722.391507781,401747.983951554,181360.546524836,27085.8949417361,2366.94975165335,122412.705543746,44315.2529877917,6357.13437247695,98976.8829317017
"P00081",5648.43398517998,117663.920374871,24638.8755736957,7827902.51175311,116416.954037176,7527.44049997202,563388.920215038,80902.8005751312,525991.357190241,324625.26489176,11380.3981630567,336826.726560993,462285.946070651,172107.853690169,2023.80864904836,46378.3869214557,190941.499735571,123456.046853696,4238.16193763566,120117.528906496
"P00082",72588.432448328,109234.002191942,2242038.83364457,2675240.71297709,447738.294054231,62635.0837723475,2549467.79106262,903687.022520692,1578392.91907432,292752.93137278,44629.269728581,450539.539497767,475846.485061455,152368.910615516,18765.2621681042,105046.912482604,193327.563515419,115860.056903848,103488.363335685,164886.487187086
"P00083",149775.989379126,79548.7234223613,1056051.21245269,5785759.88960915,2644202.72465728,539526.268556211,6154728.01564307,1294706.74154525,2120718.1198365,176775.071149207,713022.583843499,578161.437781819,322989.178294384,132008.620116474,62891.3960243015,2120914.53638195,206832.164164611,792811.958303152,1597206.19209104,200145.69068325
"P00084",137605.694505437,51557.3570752632,2355368.18040075,385527.667092669,478303.759360071,542116.105284988,7186203.93972968,289691.643133838,843989.113986016,61131.7030854895,267474.069774827,539506.174835535,424325.34353937,180803.605538091,553443.671865715,1579964.45420521,195195.197999593,4031374.21230594,6836624.07929988,198472.213369723
"P00085",10448.0322870641,112525.783857598,43696.6875568708,77886.3688365363,102943.173855852,17806.1656701572,337584.814001974,67627.3659574437,151336.977205464,324512.002222124,11076.2250737215,472252.756078819,479647.906452406,218814.588026015,50104.5451786351,115061.060633785,152952.241361243,275440.251212803,27864.8156079361,126671.814840489
"P00086",75151.0953811162,77562.55786721,265138.094861705,2258652.51911413,3429109.35999955,164358.21975256,1257251.65985096,5929337.34541264,6670360.8530761,192502.90118366,379797.896223524,527614.164674046,364639.867959152,148606.290135165,241280.96000125,2389718.12272504,200148.428853208,340470.832865618,698215.159080829,171973.741973684
"P00087",152084.869040843,66493.940760826,1469106.97040145,5251105.33364147,5062448.9874487,312914.717341066,2019102.58107413,2078993.05143877,2108893.43507086,144223.069331489,133002.215406337,566775.322690182,308580.636770577,155721.643591998,213254.699914659,75175.3149973675,199731.965066773,980108.87358985,336958.351648108,222488.146227999
"P00088",87797.9557921683,60321.559212991,7207714.56426732,3110809.28658049,4260577.9857618,239120.948440783,4696204.53441449,12036660.7886383,2684480.51212612,99658.5454433687,1179201.38316637,486985.982344874,395196.681488075,152411.018557175,150052.706369726,967889.394460596,197223.127454923,1604067.52116639,1382805.23882717,203652.135160758
"P00089",175886.905366633,54603.7341106968,8839663.19059281,112063545.258341,3672266.5244251,96363.8378933902,1057051.5256925,2225831.72255607,2517324.82913027,174890.996192303,383468.620237242,484505.760831666,369402.017373196,131150.88333854,67886.3653658961,350881.451904263,206942.329423821,691432.187247587,410812.164298077,205264.859060383
