"","G1_1","G2_2","G1_3","G2_4","G1_5","G2_1","G1_2","G2_3","G1_4","G2_5"
"P00019",221835.768179714,4986.55805590211,1161860.40768151,7303774.4069336,36793.1719621119,410082.109562672,21141.6220285183,15563396.1330966,3570.47359818563,2968.31366951746
"P00020",2976023.4326571,293667.799567628,11495.2121884987,627281.687471016,15689.282443806,36648.9561541219,27930.6771224148,26687.9707412471,79385.0557193887,101773.22339289
"P00021",3191250.81865912,538214.43173494,9925.62323393138,59547.0946940835,15101.5164823531,4419.78224864533,26946.0906461234,3150.3281801387,51889.6809805214,85825.2187937826
"P00022",4274904.80410886,293216.954457464,4520.58903813829,974206.803715662,11723.887175543,96744.9061236353,27333.2000468893,55759.6296967836,98542.1005284378,185731.555185486
"P00023",333261.236696599,137579.200086761,307646.376843935,489453.466565277,30119.4968564481,76310.9658597877,23336.9531339549,134566.396040512,8835.81247911622,40919.0115848451
"P00024",283335.908324588,9352.82196919453,285593.143703086,5301610.9640205,29856.3708722152,444844.332952244,23682.8879758642,4890413.47076606,8280.37156382937,6535.5374155161
"P00025",4577185.68408068,735429.086996525,3505.32270180302,69794.0276448037,11767.0986915227,8238.21019879102,25882.6986724692,3254.38212176587,94866.6037485573,185840.966338897
"P00026",662747.209158789,66110.0760879699,95442.3328353603,499005.301478043,24717.4252004736,43358.4786803748,25878.1869854629,373717.343354018,19224.8877451362,22851.7309510687
"P00027",1153636.27325928,27288.2727553911,61968.8534661902,2785294.52570174,21552.1603940649,167860.774666178,26307.8166227631,516094.407222361,35783.1625843211,30249.9739161246
"P00028",395114.649121737,16156.1961164817,257722.468187365,1739861.10305224,28947.7486511658,123021.425899795,21952.8557386883,9417842.73837987,6223.98415524707,7192.6727723116
"P00029",1673129.904682,67918.1925835771,29862.1836638407,1510453.66573694,19708.0790560711,208412.003542564,27096.1596701473,492488.380614599,68789.9734389383,84264.3420233495
"P00030",3175474.81328309,708412.092821966,13346.3962165158,72382.1905619465,16312.4643814529,3502.74225062667,27872.8908731783,7779.76323767055,53074.9065157157,79606.258148141
"P00031",4278801.17223454,558566.139999649,4645.84506192052,124105.532457563,13683.098184081,6824.39923774283,26914.0941644203,10632.3252035145,83175.7758298605,164323.198308399
"P00032",4267098.30732125,227115.247925727,6577.28772016975,1043549.81738906,11942.8807294351,79829.4714956393,27913.1854661629,23487.0951551237,96487.7262318467,184915.886863345
"P00033",1061537.9820735,87538.5800881635,96029.0296604042,526696.014185127,23313.0699246132,31688.083292857,25957.8015890197,133679.782558514,21139.8349464384,21403.7368452446
"P00034",2926778.01464564,359388.436703465,14468.7771927704,130647.42139361,16592.5583131511,15334.5152677546,27602.1950396757,32747.3519063064,56901.7498014085,122414.822783109
"P00035",921909.545085503,158536.989751883,71388.3502664675,473085.014942245,21507.4662562076,19350.6155153603,27406.4217710156,422307.605973476,17141.4571096609,20169.6072965927
"P00036",1608212.566096,445500.221637664,34319.500811954,61405.9057042146,21346.6484474075,5759.38934350877,27653.1373093477,7567.12589407722,17919.842806784,26332.7996730054
"P00037",2425137.1806391,338112.810605816,36929.0894814462,79166.9012615694,18553.4936670944,4184.09157596794,27836.1633684023,14033.0764074103,32778.1675970661,46125.4158346676
"P00038",247292.910992329,7288.96804078498,348711.09120337,7014428.42491751,32542.9115479876,668960.309491713,22914.8049099907,26503907.6342283,8591.24386093645,6241.16645785544
"P00039",4273275.90656319,844775.21395329,7724.01169276345,34193.4984893333,14045.0587920509,3008.34525686899,26556.0746392259,2082.71087310416,59053.0846388493,117945.002509404
"P00040",2617243.94856665,336012.346970673,23890.0798063995,119227.539970095,17247.1042955159,6189.05924905531,27907.0480661688,12493.4243046292,29853.6049648763,49249.6221844256
"P00041",2640918.3253442,461299.825837161,17038.7775205166,108637.02902976,18668.9646806708,5054.93143310894,27931.4086941286,5418.37862178049,24717.2438051826,56875.5879026734
"P00042",414144.250672567,15122.9332369558,221073.392511573,7804007.08572678,30276.9520335253,591295.645687815,24103.864672821,17823220.3711738,13453.4788334009,10143.4086698765
"P00043",1133348.4288072,59834.4764614118,44998.504455705,2114255.70140921,23037.5758567242,109295.078993575,26917.2221873931,282155.193630298,26000.5041823773,19367.6057852887
"P00044",4283344.35860932,664460.569384753,6526.39823801735,115064.15040614,13476.8799991415,10556.5424275647,27713.3261813912,7336.73988763339,74885.5632768162,149580.956805973
"P00045",2341145.53958383,571147.437084144,26265.0543921773,61838.4562070187,19751.1630490506,4284.7055660519,27896.9937667109,7474.01695377214,25754.8701614241,50176.8568875841
"P00046",1193512.97759635,53341.8228843457,46752.3123052315,2352008.45537212,21002.9296168582,139251.29206472,27584.7757788493,2224865.54244537,50636.2570261569,62421.0991299812
"P00047",2505169.45669827,109617.661727194,35226.847620616,934372.887309196,20015.3484499425,92543.3302836524,26976.9065883637,164969.786406512,37875.8136905394,39064.9671859427
"P00048",2262028.23070811,155700.529047985,23740.1013638384,312973.907301821,18393.915547466,25299.5863555053,27845.775103703,96505.2862608543,54005.0805358533,99262.9686981595
"P00049",287665.218209715,34872.9600063862,534518.367198535,1411412.13356479,37149.1304335685,82615.5051368747,21726.919602748,1298689.81679716,4636.05581847149,8377.0343863002
"P00050",1751717.09604886,102361.315466526,33962.9739448778,2500829.03713106,20394.2954245096,116606.924728677,27672.6812295566,535972.517505438,41548.3770414827,64964.3549954901
"P00051",546551.614209626,13747.9298022366,252587.661570903,6166133.10611563,28261.3882059437,201153.555073063,24216.2512884388,10067769.5548853,14133.7806656766,9919.61390319638
"P00052",971733.873375742,67204.3399235263,55619.2170058795,279117.925832472,20558.6158562675,16975.1829618076,27360.9811245538,156856.556389267,21525.3848183587,25390.1776789209
"P00053",1802570.82336146,135417.922935688,45408.7118688871,721732.2237821,19064.0226993655,53548.4799387416,27474.7391770233,192883.697878354,32491.9171321139,45273.6678558452
"P00054",861855.074486948,7527.89196434166,50786.1420803873,15225957.9709473,22179.1301405304,2452172.58750746,25601.2406772052,11781766.9464714,35709.2681884236,60485.6959217058
"P00055",1417994.31159687,167958.906678911,30050.1514006045,91076.5574213368,19720.3472617392,7881.8827135841,27549.9115483853,17253.5145758264,17720.8448406133,41888.8224894378
"P00056",1526356.46383784,273079.093130773,23230.5102578556,116787.212927724,19064.6947694871,7870.87562054743,27800.0809468517,18915.0463747071,30991.5566383647,43080.9571140374
"P00057",4230615.40590012,486408.455080612,7444.03699278531,264753.517903334,13345.5495486404,23791.0534817211,27215.5884426041,27530.7053877642,89295.8370161382,157132.592884939
"P00058",2085828.58825799,174140.019632322,32162.3783112336,891797.058703897,18823.2345323285,63012.2298580974,27343.1771290587,98447.1571911242,36688.0338122398,52474.1726496965
"P00059",738210.538933725,30694.5506303786,57661.7220258767,3563002.35724718,22093.8931715933,193391.046855641,26463.3403687323,1093646.47986611,27458.1307764387,33493.7360027027
"P00060",3369998.06918816,335372.999906332,26122.0564249508,541659.553104545,18006.1511033792,32259.3306406832,27774.0932477268,61120.1284188699,48802.3695018381,98187.2887624947
"P00061",2470917.03259274,433721.190378342,17001.7883413265,52781.1012401345,17917.6046643379,4948.08076996669,27855.3828760633,9544.74713365678,31161.8326663892,67946.135774634
"P00062",3697049.75953998,488955.448346204,8788.0409018565,132137.424462571,16175.9052111158,14297.7231660326,27177.0184364849,11270.5274962512,70462.6342513374,143952.5338516
"P00063",2582732.31205936,183954.143332489,30160.7903927544,183618.490426931,18876.172160775,14746.1187152738,27900.2133121342,31744.751025582,28937.7338602033,54308.4216193312
"P00064",2811589.87397888,173139.438648853,28877.0580058763,246296.296428477,18419.0957491603,25792.4661013619,27760.2644402107,32212.6628320816,44873.716965978,85262.2415132243
"P00065",557784.010402049,36321.4559147136,130939.206341824,2797914.77426899,26242.1167576947,115013.686435792,24924.390262209,3988346.84872775,9603.66174811416,9066.94300315916
"P00066",3190389.58327829,400115.303694259,16962.6576184592,68830.3264901283,18041.4347602462,3594.4838775278,27631.9759294238,7219.66257498402,43232.7872189511,84092.9030775865
"P00067",1042202.37457593,32941.744761781,45462.0875519692,2583308.42458811,23034.9353867994,148186.86936723,26906.0217583782,2454330.86021985,23307.2981725194,48323.7114447646
"P00068",781077.620852416,20512.1243878325,109850.375578586,2576644.43685443,27073.7268848985,161037.599776681,24782.2180643479,1086660.8862985,17409.2597595349,14596.2691323294
"P00069",1727373.06435508,215434.559375106,26458.1172565081,392768.777936139,18362.3885956814,14263.7324874665,27931.2456968084,25211.1879970585,38640.9555443412,33390.6617596413
"P00070",150294.207888604,2512.59963058952,1405775.63972417,53860315.3005201,44115.1866871284,4309524.16376823,19639.1566963845,286629333.8929,4114.92907752479,3225.25624509393
"P00071",1818184.65495925,132198.733546034,22404.1749781863,840859.951281513,20424.0233737453,64637.3361139326,27133.5733484291,148516.063601248,27402.0574552288,41105.7969907595
"P00072",3382673.43027174,529166.452408354,6219.86720332029,142416.488426731,12537.4757260018,6813.71641111392,26944.0657151513,7124.11334517339,82297.8966019404,138009.887302456
"P00073",1547437.62125084,188473.078559311,25838.1316067556,494330.433694259,20340.4063204611,40843.9423779611,27145.6895630878,55183.2836133423,30415.3090315077,44579.3360949313
"P00074",1492762.36836784,149338.561847715,38926.4500835766,397504.621679478,22312.958049302,30980.4903459822,27560.804733138,160939.908268083,26382.330630331,39161.1647420497
"P00075",903777.338417386,32841.6889976836,77134.0379975407,3939078.75415199,21469.60631538,238021.427015058,26750.710398509,5038962.26549539,23763.9559890556,30702.7497822663
"P00076",394601.61891749,5735.42079854265,285365.970820738,11725195.5511468,28752.4915147565,554770.874699365,23225.0467833083,28760263.3874867,12129.6208913495,11394.2771259579
"P00077",3041185.55791633,160599.669550034,17283.3656205848,526493.863579779,17982.0910220972,39423.7062706973,27901.0481767965,19541.4641087886,54302.52267397,97911.7685513455
"P00078",471601.670830515,33383.1536647738,90726.3522271496,1289476.45746993,26230.0532244747,50355.7859840933,24091.5045660295,446536.274615541,7432.89877307122,9826.46617227055
"P00079",3411995.55616721,614330.296798584,6873.01905898884,45295.2809144923,16237.4510471757,2557.40524799008,27439.7432092029,5089.70780819893,51590.7550845504,107241.39946043
"P00080",2873835.8291532,873155.028504138,18415.2948033934,24169.0865697459,17332.0891424145,970.72375415699,27612.1900469658,2127.89345305073,23263.5917497918,51045.7313593466
"P00081",346561.318957308,18391.896762702,328889.411915053,1754632.01201089,30881.6291236421,148710.765101726,22735.3838397378,4657963.12424858,4372.42869978424,4439.93728016946
"P00082",2101124.96392992,226159.690296852,25984.6868875432,659921.490104583,19086.8719603095,31627.8620753458,27713.6960475338,425334.722948332,48630.980013607,102618.527558784
"P00083",354810.482566643,33737.9984618911,240873.377243121,1332370.09849754,28441.0810456057,92870.8293180444,24014.098349792,2103045.16603765,8737.51112993904,8123.22365394394
"P00084",3445769.67394887,178481.433309014,12020.4572701626,373642.736609226,18158.0294955985,48997.3720583739,27865.2102822927,53976.1349138043,54170.2968806793,122167.659832828
"P00085",1134436.00176366,83001.0100343656,39777.0974178003,585731.943386095,23332.1294015181,40861.8056304257,27193.030554488,188743.319132408,24880.4513433288,25218.8488422471
"P00086",4691891.54295769,738027.520734267,4772.538617135,91011.9524403741,13117.9534007299,7727.91013355897,26874.0900678908,4882.05745137664,82603.2010383929,184363.364751877
"P00087",362681.771548695,7141.69290336594,272797.025728325,3928767.66948055,32328.5614573286,183211.252072646,21736.2885354822,6595878.62951862,7294.63954986343,6512.28074837801
"P00088",1506952.18852865,109918.226282223,47190.1340985108,160997.791195658,21393.1314930405,20818.8780575478,26749.4390342309,62653.5644963403,21598.9036810753,37499.1050732258
"P00089",869839.518846254,21325.8728677848,166408.643660729,2499378.48829991,25178.7713106066,135513.169837288,24665.5801931929,4232185.75608551,16503.7016598164,19373.9020196093
"P00090",1466660.65425838,209900.32813663,41955.2690662197,173151.575599978,18617.869617576,12807.8119169825,27616.713708276,50051.7231630391,23027.3500308726,29871.9651029684
"P00091",4505024.32072433,558732.520091081,9183.57727008047,151686.333640395,14778.3526092278,12408.3607873699,26779.5580999544,14488.1988860578,71539.7861117176,154829.78985286
"P00092",1971641.71803189,222957.396854413,39864.465617042,162343.034565112,20119.2141132273,12082.7624104151,27423.4470428525,40645.4282784154,28641.9620001752,54797.5973096317
"P00093",987578.709047892,36607.7995441764,68744.5853318526,1654055.49623961,23076.2119886501,90543.7142883964,26598.0706032409,736439.490285243,34669.9608897671,29690.1149759742
"P00094",302330.894595806,6372.73047063247,423533.371283873,14449966.1895062,30548.1002121269,778444.203062399,21498.2753844042,24887314.1771889,12929.114668284,8473.74171217539
"P00095",362769.874253365,10761.1092693496,258179.487012606,2589995.5731844,33538.6522460445,271342.133443497,24350.984278506,5420346.78048697,9209.78888901808,7007.54780145386
"P00096",992820.357861064,69317.695317,50457.8616014165,1123832.05873474,24138.4466517351,46199.4902369919,25798.704835608,365351.973280929,22805.7622273035,19802.4719287578
"P00097",1146581.5722066,42163.8173156896,93941.5156519452,553161.250961199,23167.4282403421,31945.5952293588,25227.8500215922,108089.993958923,20064.9972390387,38145.0410156142
"P00098",1883523.2225474,84286.8528769639,52227.1669481993,1573491.31918401,20714.4830072045,136117.06267098,27212.4527943165,314243.605366655,38582.4119413666,42308.8276224422
"P00099",905547.722040464,64539.7464406581,70197.741808805,937370.064735686,23110.5241446682,66189.8258252749,26638.2703083845,473457.24364392,27804.3615250874,32214.2013042688
"P00100",4092662.44803605,705824.875920641,5679.44997115703,46280.0922517208,15219.5063188377,4336.17621446889,27101.5398568734,3585.9953275687,55300.1451468843,118526.814190733
"P00101",4626184.65980781,809941.610601544,2728.74540873295,78862.4296669949,12023.329524318,8433.16826555947,25526.1324303177,1934.9990863839,94289.0245241039,179255.184330385
"P00102",3677220.43386891,432438.796916306,11781.4513841154,98584.6280879852,15283.5070707467,19163.6793209325,27932.2588629731,17296.3582760604,54024.4299422584,127463.056956464
"P00103",308914.406940213,19977.0723722392,250842.045688421,995719.858699167,32315.2257383188,51372.2447621258,22838.8135008365,1004027.38986679,4869.5238362712,4535.15163994816
"P00104",2327741.0568676,299821.368212384,29814.8426874755,107968.777352147,15832.2511534185,8704.78850349614,27931.5454552169,11924.6525083659,46328.0922238531,64564.7003732963
"P00105",2834004.18935022,732392.15168614,22976.098389597,50495.6030732238,17792.7260002234,3311.32980690053,27897.7737610827,4069.69577363107,34658.8639396906,69985.6148965187
"P00106",334044.873733313,16973.4624854402,303176.178996377,1324750.54697796,30665.1524105187,93673.0282441209,22499.0025230514,2663812.39644573,4522.13943656827,5846.11554896733
"P00107",3430755.75679961,918935.370832176,2062.37681686882,14984.927911905,6244.69148360797,1819.52345709351,18299.8061597509,703.866595746452,97738.4456023974,166028.215915293
"P00108",1394355.71150978,51447.9533255875,45367.2379568299,1011922.00584385,21989.7486303265,157173.137837524,26796.1011615249,389695.944695778,34229.4307521977,37502.6338070954
"P00109",2516622.93698531,160922.399603441,14371.7395658434,1128233.56685656,17077.8333418429,131868.77629045,27653.7033377896,302070.31795993,61207.5690247904,115900.228435846
"P00110",2944412.67222882,291229.318324829,10322.0493959469,376690.967923483,15799.9649927848,41920.0220033421,27833.8419108781,57067.9516051929,68765.8157869713,154238.459038486
"P00111",1619577.81705374,131318.939424065,31677.843773042,668920.540816415,19082.510273867,28442.5565248484,27030.3087120684,140333.123403404,45025.6889483671,62814.9432178299
"P00112",4405909.59018719,793039.493963556,2655.35451068367,48742.6744962096,10610.9196917483,3164.49228514848,24678.6546877514,2490.06872561526,84156.5433611303,178146.841386308
"P00113",689238.400151793,22029.6892674372,101005.716002742,679748.209505485,23757.969501559,41433.138022015,25410.883879971,407999.110681897,10128.6152299055,19640.4257275368
"P00114",1183924.83332616,122579.155932533,30413.8294766589,725837.037135227,21859.6222408996,51043.5844137921,26955.7842171864,45274.8647825719,31504.655189529,52669.596905748
"P00115",287392.015196345,11590.350518474,394982.10186182,2207762.91576106,30662.3298200791,173594.764799051,23007.9804096127,2294872.87848425,6165.29859916654,5746.82416410219
"P00116",491344.170401102,43722.7345615186,144975.93716646,653457.059028672,27297.4817866764,21807.8907333383,24665.5709997944,1005739.48409334,9217.7050928429,7621.28635083003
"P00117",713194.618268581,43642.274130708,55933.2353769463,509206.974439796,22766.0626371852,63347.7725910205,26143.5910143045,389182.865550682,16780.5428425414,28281.0574143875
"P00118",1172417.80184912,159932.238558966,77988.4012765775,524297.021657768,21700.9471840749,38964.5195873787,26785.7809226711,214339.745102269,23751.2691379439,34639.8974030081
"P00119",2059916.39296249,28379.110130166,25490.251477722,3090759.77271224,20063.6240120224,249189.858021445,26662.1858547114,1000014.98329945,46299.8006915205,70794.0207165635
"P00120",4673681.2860584,878925.033665865,4038.54555164931,51631.4426829644,10592.0927495643,6564.83486695639,25810.4855521034,4652.7174536106,92144.6928022664,174912.368055344
"P00121",3508727.05531398,578091.782894969,15871.919177855,87684.4135111563,18895.742597193,4651.68905002,27689.1165388496,5375.05291388026,50454.8320749262,66919.0525627663
"P00122",3233636.88969115,903135.246576793,1574.08202675262,27156.6815604603,6643.19579622597,2482.50231453369,19801.758689374,666.774189993797,97649.473750435,151318.776402742
"P00123",199211.948372491,11796.9408237165,552365.980375219,2207416.66695098,35225.4808154006,164219.961317284,22107.7874228313,3339898.98632762,4246.47657794645,4116.60723501046
"P00124",2302537.68175413,218522.206423922,18702.2081966952,405887.781099303,19201.2629270026,19342.4504960734,27704.0894873511,23118.0390422492,42162.8553734099,41246.6248994882
"P00125",155053.816704059,2131.00517058702,5507813.94614358,221797863.597796,81476.2343847571,20221256.3259503,19431.8244322472,1228603135.37718,1408.02997054228,2186.89221441113
"P00126",3591357.57836356,477691.400851706,10867.5831141931,115843.165655394,17598.8800747517,6985.34328120365,27873.5843425869,12345.7449770525,56069.7905628959,123029.169066985
"P00127",1186729.03099691,94495.9541181114,94697.6956114157,326399.880054875,23322.4936773591,17872.2132559218,26276.3772155534,83104.7125884262,14684.0560312955,19995.7614036637
"P00128",2212299.33096508,193283.489923906,29897.4887995756,298370.641757976,18671.6372966727,28598.0841583195,27482.1598277765,124955.277800946,57969.295545578,73496.6880024338
"P00129",158226.567412843,12708.8467727129,1008269.56976023,5778535.86641826,42492.5094106913,373785.904907075,19999.2995523613,2584062.19656735,4975.56259305956,23371.5711307973
"P00130",4050857.53051867,498807.36290573,6337.1264662131,56315.5045016247,15007.8535982512,4972.05772501012,27797.0099035048,3720.53982624328,73499.9653981591,103901.258107473
"P00131",4393965.04651161,48542.8659409751,5722.73400338874,1109431.79321933,10249.0630224643,130337.121903583,25622.8891876981,1059844.48606507,94505.4657533647,58234.7995644733
"P00132",465456.337884226,6167.19897938528,201253.011568044,10684717.0125861,28630.2132963003,924384.676774785,23060.6682193744,13815761.2013352,15770.3077575732,14170.4985238794
"P00133",380139.693139341,15633.5982225957,209383.626406919,5267596.71483423,29753.3522692745,218387.260298093,23020.7438982941,2075512.53775458,9833.65308833492,8496.79191195818
"P00134",2000281.83288168,218735.996300156,15454.8826520769,401163.143825739,18115.9889857564,19517.6330107744,27251.8702408085,44020.6508319965,43997.1946088168,69826.1074022164
"P00135",3849383.33643362,420224.951096817,7307.77061806278,105422.015748678,16550.6152280486,9974.72584844313,27777.4201100362,6510.77500706088,71731.3683273476,122646.341238816
"P00136",2037952.65826992,575818.389461533,630.041258976615,228548.421606187,3904.83743492133,19058.3899851421,14494.7601553769,17809.0286665999,72215.5844449177,167094.147270261
"P00137",4216984.45924221,291303.068118276,9636.65675438119,461319.545032451,15384.1943738563,34524.8301079865,27591.6401137346,34536.4707227067,82096.1373942465,162158.113560626
"P00138",3281649.070992,898834.258069666,12503.7322567018,26720.099806494,15764.3498820261,1250.32150919761,27644.9614922935,1569.36295834791,43556.7469071775,82153.0436978534
"P00139",2416439.11778084,469594.790952126,19705.0830900997,118969.966826693,15291.8438255512,9881.50464075488,27767.8096737866,22047.0433909988,44325.2542719686,89847.3765288133
"P00140",2125418.42485681,377727.32362376,19310.6199587321,124087.491590051,19975.9831183944,6068.15918676429,27831.9614670108,19276.3590166967,21308.9517555768,38785.7146478416
"P00141",442190.292098123,32796.6243255433,155986.452826114,3783171.76054038,26761.7672307095,182403.745783665,23722.2170518056,995737.815677858,15699.4126068087,12156.6816356025
"P00142",3756325.81754497,511388.787273271,8733.26988336374,171524.294770214,15626.1817198572,21120.3504825585,27160.8939428869,14696.6366883003,73888.2184660542,138117.233748546
"P00143",4568406.22437671,864762.170936016,5613.24704029706,47997.8887358408,11199.7170437108,5270.68301496494,27073.2955562278,2793.10985577215,67352.8730476281,149131.175195748
"P00144",1393479.86065234,39938.7184732704,85115.5209390717,2392845.08254212,21467.3267818889,90606.7373541148,26475.7228497685,1364387.73179933,24232.43262181,64077.076339901
"P00145",495018.006054238,45810.5998035427,168692.215771414,510334.84047057,27847.4187919483,62884.56855213,23946.8753703005,630425.413895782,7792.54230387516,6328.85193650483
"P00146",4332412.10774984,737410.990005178,7768.78147045741,47060.9653333552,14290.9332717619,4515.63865596246,27332.5137512795,3022.33262052893,59935.9254401615,82280.2218112418
"P00147",1392153.52018198,103749.911413878,40219.6172021433,345373.044539413,20680.4134953752,46800.3112836295,26419.1841642401,138092.692087919,27556.3268581831,38442.9365238106
"P00148",3563668.19877764,99955.504949885,13214.9638509254,2747865.52353495,14426.1933948351,163579.371689695,27889.8549116436,187689.676521502,85472.87464409,152829.098184355
"P00149",1322662.01492444,109300.328618712,28974.2902400418,655454.238427024,20156.8042323584,32614.3012908922,27778.931152578,88989.6906758629,45436.7299871167,67379.0639307588
"P00150",816807.258626781,60825.2699316845,64251.7512002342,470694.147941141,23206.3417956121,44546.1019717258,25518.8472759501,191361.136231556,15955.5718411883,19950.3386282007
"P00151",247841.002102607,21032.9816872373,422351.672179863,1030205.71198755,32436.6209665277,71559.1143690613,22611.6179210137,2851217.47710985,5045.59401157899,5380.60632566337
"P00152",1022058.53975798,26091.5162547493,53539.2015959508,6217704.93991793,21834.7961339351,189176.866016993,25739.1152609767,1685339.42550171,29186.2698042056,22382.1239101903
"P00153",1191547.889789,62880.6111033688,31929.0747829409,2008213.40825628,21144.6787377367,120706.339917123,26422.2567269452,492832.760781477,40498.8470195,66000.2130731002
"P00154",4677160.24476398,838900.974955922,2926.76941532833,32177.6137588932,12145.0536590537,3029.83010552929,24969.1100727537,1793.4683566536,97581.1585339004,183184.51551636
"P00155",1635452.41243007,120082.134667307,50750.318738996,801877.600915663,19816.3278105097,52109.3852408913,26154.1489248156,320147.766311795,32607.6599283915,54762.9430124928
"P00156",4690523.15216936,343044.248311074,3628.00458153202,366493.23947825,11509.9947193921,46441.400170349,25993.9509196854,22315.926762499,91264.1881698328,184536.275989155
"P00157",3172610.93313737,652409.89190876,18522.8446967552,50309.7649298024,17166.6271917908,4205.33103108731,27927.3794503895,4064.95881371685,48798.0638448495,103936.962445672
"P00158",1665366.23648765,26585.7053894265,34904.5283223024,4654534.95678652,20786.0890450809,434119.693995668,26711.1233232006,810232.049175963,52708.619062741,65565.5892959508
"P00159",413635.217301085,25251.7656998587,292303.799953152,1208947.43869605,29804.901628309,63098.5910421181,23177.9607271173,1078410.92568554,5745.78470063043,4698.26520352967
"P00160",513939.845308637,84002.0319240258,112949.198054075,158151.700821108,26085.686358566,9568.35891776123,24314.098369455,106503.327305108,4947.91984569185,4964.46524102757
"P00161",293992.534554159,17355.0662877206,399572.518282056,2138441.83787564,31748.235854245,181167.798935378,23553.5906383724,3520300.27039328,7173.34412995579,7414.48640768629
"P00162",4666916.76031586,676660.518617774,4136.77009582563,134396.412458227,10531.2191502496,10648.6314285139,23865.5974116887,4791.0477684611,99494.3156509967,185890.110824384
"P00163",1394728.59798942,184518.508112194,57033.6135307037,198858.724776575,23414.2243525891,15952.9136693985,26312.2468183299,71078.313949098,23971.8048749677,16107.4014001301
"P00164",526986.415441231,73878.2040482396,165338.544413785,1145123.02513494,25506.8896312988,76788.5593940275,24672.9240905805,1202141.61115245,12401.4109930082,11673.6490101721
"P00165",1224253.72233423,73998.3094912502,72157.437044713,641541.350288905,21581.9309329792,63028.0468305648,27010.9157139839,438389.762151928,26520.0262056005,23487.9052162462
"P00166",151081.744491384,2148.84916385971,3918424.14598435,390410339.187946,69577.0227873343,56613209.1848531,19443.9585170115,2999526905.38732,1740.19929705247,2223.29618705943
"P00167",4586331.35410531,926595.664708164,2272.30381835042,63033.6248877606,8904.63236286126,4767.52500060561,23858.9841545225,1332.49638485227,99583.5695428435,166781.972738221
"P00168",3889605.731798,180658.21803233,8976.48812270402,1195842.67865191,15850.5216999447,147452.924924301,27800.1794073112,64509.3890335308,91994.7638346216,159372.960834432
"P00169",147073.067143896,49945.990108754,2301158.6121478,1262019.74600415,59071.1977083144,80693.7387100825,19338.6777972463,306531.290436443,2243.37541805661,22750.1982954737
