"Names"	"Sample 1"	"Sample 2"	"Sample 3"	"Sample 4"	"Sample 5"	"Sample 6"	"Sample 7"	"Sample 8"	"Sample 9"	"Sample 10"	"Sample 11"	"Sample 12"	"Sample 13"	"Sample 14"	"Sample 15"	"Sample 16"	"Sample 17"	"Sample 18"	"Sample 19"	"Sample 20"	"Sample 21"	"Sample 22"	"Sample 23"	"Sample 24"	"Sample 25"	"Sample 26"	"Sample 27"	"Sample 28"	"Sample 29"	"Sample 30"	"Sample 31"	"Sample 32"	"Sample 33"	"Sample 34"	"Sample 35"	"Sample 36"	"Sample 37"	"Sample 38"	"Sample 39"	"Sample 40"
"11K"	8132791.94609015	93264.1791391542	3008017.18839676	200642.588739154	356790.523296845	123511.935880096	1352789.06481234	485490.521773152	496275.14508251	348366.219299017	1995615.99283249	626379.97381115	361360.628506739	853534.226982628	98482.4557522084	1235873.64905875	3213698.8156403	1214718.87012633	207937.521193774	616975.779244518	1202031.92740768	2106533.71694714	1203738.62592286	8226785.47448629	271799.315469578	3264704.54251613	166949118.477214	832892.043003972	1302612.59714592	406755.719070659	2197369.387994	12179305.906427	53048.0711633278	4627629.86408737	368397453.943694	22042.8619934644	27437957.6588233	4797842.07358466	2234667.66326724	2696930.7619829
"12L"	1603995.47434237	175958.850058576	10860044.0303022	117313.39696665	1205138.41827287	7363527.21775134	973812.538773585	1573572.02807788	1718951.97802273	1241410.29604785	216312.10806893	7464136.48458238	1732208.97289182	60751.3357077388	108240.704460015	1357389.81305083	1130952.78667973	1883760.46960292	6500280.30715404	741789.520551791	19175871.4825542	12449563.8756417	177180.204762706	1889359.28207827	70035.1012715416	1362565.73390697	26064342.5617019	156789.707760023	79099.3717620316	3117240.59524228	248056.343084733	13164644.3248803	3453243.88318118	98099.914427561	2385405.72392425	414665.63251727	5599245.5260869	7506666.8521173	1801326.44681549	1421530.00739398
"13M"	706634.595474167	58413.8644686214	580881.282056881	4258.6128151636	93773.2831591682	15563606.0173351	95806.173229089	785794.7222329	447216.249030231	722559.569472874	92472.0175207299	1932256.10571262	1296975.18043302	134787.164390195	47389.5675597223	6111171.12994726	182470.749086608	5155770.05157217	795470.501574709	6146020.90362443	340501.177466433	4427616.28745912	1063304.40177568	616709.952071335	210775.067882671	653660.760276947	9728224.00585251	3676882.06026697	40542.3372568668	11241607.2762225	944591.476614726	4831757.56532445	3262909.90915878	397534.269048988	20730647.8337435	1473219.94773311	1032790.71732127	28242390.2770785	905811.050248386	168686.144495778
"14N"	263520.055387415	278831.523547107	6173568.98442347	804055.148518945	469707.628052157	172266.31807386	253588.975240561	6354054.54665657	53987.8954816134	504102.163508304	352500.045575593	4205152.5364827	1396253.32315203	580429.271893811	123276.192694946	647235.481295699	1085226.50637599	699474.166218307	1627904.07252882	1406494.55760825	3138836.74195399	2586987.24036566	336666.56591768	4198886.34631853	259236.055729798	9179985.52615238	13824352.2777463	942083.653538048	215436.897209951	225918.086241882	2617155.89850584	70096535.3510622	1406836.49275722	763505.328227197	6130793.44339726	9215.59979459012	6848172.1264401	40638096.4332056	4795803.66326286	113697.358492206
"15O"	1948608.07925008	1343166.02090014	2992230.39654375	31166.3500591093	3388353.67027206	5093091.57129646	486876.500032727	1718732.53583337	282430.546824762	3954792.77755699	276713.773069565	2175547.73539327	207039.229085246	183746.329611828	143354.693769298	471395.03964849	341869.720357419	7339737.05280238	1976455.75702219	334264.247794834	34782.4045874994	244510.883319102	138722.99263016	192720.175349061	161098.8401158	4758677.72059637	25725811.8292078	1002916.8828967	89642.6793421255	1006326.92893658	328766.953790026	21456871.6443521	1060382.57105919	395997.127459221	115898980.449516	169593.912534138	2206863.4726058	7421105.9912507	299024.891041339	21468.0546168702
"16P"	759969.454429923	163198.599344713	4433416.57297997	184513.536248276	643963.302044326	636317.354784983	190878.728613319	9696989.51584014	47773.6996889585	2076380.31043377	107778.104445198	1912279.22043452	128509.873488853	675338.357262737	134717.39401902	2161139.77252251	1633288.83463143	1539551.39742456	717596.686099774	604711.786654116	910473.176913424	1707445.63678111	695873.087795457	1946227.0013135	1404430.50555212	3116687.93103166	31299144.8670674	1931084.47366438	817120.106296797	3831987.11739692	4690324.51165026	2796246.59544366	16947472.2050328	352273.309879458	72268948.3124273	14280.6152281904	3412232.61608937	3402678.79927019	2396470.15177746	174167.383928388
"17Q"	300940.222229481	52338.8993532085	12514495.8973748	57335.6053905283	579604.740195267	995992.935124839	263029.583851721	139830.431119827	238318.649537635	3132464.67236152	592693.649102002	365732.476927652	1174791.35988438	569314.466823028	3367893.29398463	717774.634034294	156223.66993726	1291865.57148748	472195.007423846	1356061.15233046	165125.549154203	69230.778217326	131748.06924853	5930754.07699706	515316.722748367	2091076.50951072	20658201.912476	1898923.29624032	59203.1065044156	1365368.93675579	1594054.58261683	12176975.7156298	1584059.13533221	21899337.926039	5177900.49878759	435891.282179012	310411.180165528	761817.951986022	1130011.65419438	652145.384421903
"18R"	99001.0778234932	156952.178658248	12727542.2317492	80459.4099952871	94282.5025067685	1470983.26944433	29676.0247411965	11393371.9141093	16882.3154034044	5081099.67979954	752754.006466321	832300.953112867	673117.080586578	459541.136074193	126004.715744348	151690.616619434	792158.403975003	2976495.76338785	1018867.79388614	80900.9583797785	4673431.33013645	518567.428125762	696232.138293208	167041.846638632	2852045.98041235	248181.242523539	218925393.498168	1804146.36043827	404836.158910268	11885838.0181157	137951.698731152	2301909.62697521	2594287.43509773	270684.859127971	18735325.2594857	250465.170384815	31702329.9503818	21241145.798493	197967.089414665	171695.407136213
"19S"	8235710.61868417	30497.0063043694	1104211.87398586	4686820.86001424	213157.591441273	9815012.06428804	888164.762423642	983118.357622035	55929.6136517217	346891.532368138	472794.108236275	6358759.96215258	2187144.61514126	1108648.30451095	188360.348664351	1184853.0701276	157014.698610184	926926.540356283	2373976.45094358	6231095.64852998	982098.850339738	603633.469385589	37662.0599665313	627650.005449398	1808514.6083736	859829.663970639	31301436.7840961	300952.093762227	482360.32781574	8751413.20516318	563465.49282252	1635853.9469988	609666.501415701	1429196.13382459	76884935.1091781	812481.204767169	2796264.87157745	50584697.2900382	935286.742266724	65911.7282628152
"20T"	1100916.64760516	1629034.32292844	1523179.02512619	3570.48047551501	445013.508475417	203231.984521007	37652.2815801942	49395946.2855119	1017479.68874176	3100805.01414376	4068099.31704227	46245524.6838297	67930.615138142	4322876.88579834	1340504.76588469	122140.566282073	3926807.20035753	3178792.0766782	31141145.3775745	773600.649892475	2294494.88487781	54197.158789266	321805.42678474	2833040.88606028	1153728.69960121	415572.759009693	20809077.725438	639211.936391445	45443.868491757	9949596.18029884	6019444.98631137	43334768.2040741	1628648.26829407	77902.2701317779	12862340.7968065	224358.06603743	8727560.12103606	6735739.35476796	276417.231764134	76101.0654592353
"21U"	4335959.44357037	140741.969050138	6246543.32866056	31477.6604974823	659139.305589254	11822140.0571932	628733.451477932	135717.093227448	53751.4012060406	745802.919430681	652440.638923783	129451575.973571	770170.727230685	5082835.16230724	58415.2658063248	4707269.12371416	2802875.89164654	973867.523954669	8652524.40829874	721213.24720166	617874.219023893	1801986.42463505	366366.308254723	508138.535819363	1510393.0511906	1114882.92787872	53206610.4017068	252505.222814922	44305.4176340341	16965614.6640644	2235010.51101573	80655795.1231414	12633684.3218359	710867.616038249	2557998.20259163	273276.482250179	9843344.24553493	7104331.4027563	1099981.66286911	57136.2211162232
"22V"	2575489.03373418	5655724.17883994	26113813.974518	66231.1194050703	6204479.2552096	6080810.22017368	580319.813754502	2932145.5626606	55740.2580502743	870868.34607953	37671.5229219483	2054928.20108627	420965.450991749	1015224.50799267	25871.740345791	257920.785661958	1439334.22894238	1437076.53596891	777938.82190898	638471.847712477	293953.198927987	4012016.33621194	230859.645587645	497145.602462056	349807.392241549	9668886.04829873	68602839.0041499	5249057.29566755	1317106.07260223	533730.565420871	898384.930223729	16728627.2154907	3017089.23463392	495486.838461003	3726591.91029104	49892.3265536133	19866045.5977734	2893643.67214462	1164067.39481632	1139896.20260735
"23W"	2633460.20161387	336814.171273214	19492365.2433014	194010.596253982	423105.461897474	4189920.57855763	66317.0319642034	3388925.02866871	810826.867399872	28242234.9396355	1430135.17914851	2243992.67149534	1737263.94915043	688322.503692421	88782.3118634611	400952.754409551	1606815.06984443	982283.555576766	2316400.77756903	554484.122762478	1568168.8186171	45161.8611282978	83585.3974276864	774928.138492948	1711946.91797109	29912975.7649455	38524414.7450292	181919.017846709	87135.9382921895	1418329.05036737	1150646.67089152	19830359.1208634	2735487.52573797	148871.03902757	29552383.4626343	250812.206193618	4462231.21098042	11351277.6030725	816145.290113242	4175687.19507508
"24X"	977032.303098783	273542.496614593	4861700.53762088	7110.37251652816	357251.138117038	1126371.55129064	1103780.64183486	214516.745379558	227526.21505321	16076074.0862904	200151.263266517	95593.4517548516	2182091.1070845	279928.822344261	91197.367068475	6069889.87364912	9154458.82898732	2427072.75740817	5094897.44339323	359762.915694954	642660.613071379	787463.838478625	124632.982220006	202986.863397392	2312696.73416757	4434513.29881667	44925092.0286585	7029768.25513119	154700.989871402	3658407.50671308	1613864.4372609	8077899.31020181	7039412.01346081	467921.685991205	16779459.2563711	596892.702898177	3864009.03991762	74233073.6792953	1154421.87628433	295499.673772782
"25Y"	14691066.1907554	55805.8489274887	5750160.71341121	187018.943039092	665089.771325301	1725475.12986773	195001.132106484	124099.020703275	119509.370705776	268817.383437136	345544.626260449	994589.729315945	3494071.22982052	286005.478247503	159760.406505354	698226.832206795	117300.020453311	14067719.676816	68966.2188674299	743680.784085741	1493581.0594856	1793055.11115168	611861.877692779	4877217.36371326	2479268.53631344	203997.368778319	11914088.4231467	2174597.93324079	3150456.07453591	3727876.39333509	956130.153507539	36600154.569768	818971.173850133	2393286.26426858	824102.463221478	39749.7517044402	478048.761883616	2645219.70903154	3318129.47489655	259638.502973128
"26Z"	249939.222864987	691505.124322165	4887119.01737858	118994.285085021	304217.354306639	953179.560158798	194094.180941747	377204.6017809	69477.4108812934	859942.525154708	369602.649898247	2472569.76258358	375060.006613042	213105.054779016	627140.71042173	194169.913582328	4537965.93426746	3197111.86790587	433952.695411814	456659.221474268	684398.660907168	2435627.50758153	564123.46102177	3183322.14767999	553677.57033749	4338068.03246826	382407695.869011	418467.670632576	55551.4276671846	7439133.71691937	441003.671893515	33547283.6862523	19834670.1041867	995676.00313887	266771698.883763	87135.188217856	1567638.95797505	2408541.01799066	785925.436667788	352298.044795048
"27A"	532828.708761446	314956.834942472	2751296.42962762	9687.30860626483	161385.118733619	2756740.429412	902966.128365625	152841.864120589	89113.1631865173	9047957.49658563	66169.2693960158	2627584.61913659	246673.604473085	1041231.4908214	206915.414464115	507649.855236512	2002735.69765506	18866165.8130487	357261.082613353	341546.844991288	1566896.84698508	1740226.01894354	1224301.11585441	876607.965179823	462313.602499546	2990104.91556602	139250563.208934	98050.9627803495	223078.763935775	2203654.96382665	360336.571137762	9013775.44159377	5358305.14685839	307556.148675982	3894087.46947788	133454.344817405	1689238.69283785	7272395.08304964	2360666.07256315	18937.3501793046
"28B"	6903226.95793782	46683.8822283635	148938.686084954	158965.305838473	445066.270904478	14195905.3318834	504625.367886044	24389.3339797384	34058.30786548	5581760.25882798	346649.737844848	6052146.87995984	432883.185411149	14840846.7862915	91106.9608662867	1585334.66790462	978117.280760024	8841151.25071745	2586131.42116052	180997.53055003	724854.325876258	490435.240904943	1101206.48005991	929597.102917998	1407256.3723589	905490.583029479	13684044.7551577	155289.813012545	272102.317349835	218372.577391873	636646.316492368	11346285.1644538	15712188.0659444	900140.59427395	9185150.57820762	225123.630658494	13650152.9057435	19836906.1905738	381045.851577107	482643.269319785
"29C"	11895514.6181034	1159664.43508843	1265913.48278084	2074.55355419817	91256.2296986723	6550724.01851864	194988.556368317	2140050.89291389	44060.8128101592	3761216.20942136	204910.687607007	446754.319419502	5666981.69431249	716887.889297079	11554.8636087543	1997282.91528224	199442.79085256	32757913.6314135	6853215.0894733	140390.337157883	603795.589089964	1571945.42186301	1270553.28020395	8061879.17887167	193056.913215326	10639769.1144587	90547870.2294658	2879681.84627765	87665.6457131474	1519119.00563959	227640.215716304	1587448.64468478	2354790.51511455	170420.558540474	7759536.67808238	56479.370042857	3176821.04448035	8341373.35585139	611458.751782466	413991.474289023
"30D"	614991.405273168	425798.69480732	1000392.61728331	153589.207556241	142019.338400094	513311.296242731	250131.063344213	375553.921801727	11131.1042068349	215754.356913649	959176.586278726	2293613.12325344	484588.121803651	3127706.80202091	82002.7184928418	1370727.64573434	983846.711107809	13636924.7111366	999644.186984055	80009.412388597	364951.108124372	74048.2925283719	293412.642386313	2190719.07906582	258468.079912071	912250.95388028	127405554.320712	362289.52300612	14882.1484254283	63554.3247122474	595524.950747918	2609103.83800225	1533012.19689285	85022.1701430499	50136090.2377349	267561.731642653	20594620.4093278	1266004.17963896	2855201.74331407	821633.950063924
"31E"	618334.02119016	284479.648030672	2473970.95370595	64379.0632424923	2627872.25958845	3112164.23498709	621822.725879613	431619.457228689	754627.763580314	363509.759573063	98555.0234949936	9890996.24647467	4070875.17418398	758615.973724679	33816.4468739746	3160075.61711205	604656.187907752	14189144.6371571	2774819.44360596	1090030.50146445	686223.572103219	86996.195182329	149421.817442772	13993.0547654318	2275379.25639832	1826904.53913429	464310947.702831	160709.797829869	365999.569091618	11287062.5113316	725574.731548771	50166984.9688334	1225213.94570265	30742.1761097673	1495336.19796681	808874.044748675	77135192.1923115	23848948.3506282	11413545.4276276	39851.4450324971
"32F"	419469.277633754	609299.337867022	2736204.74702356	23950.3052088636	374992.955618569	6006342.1666994	31347.4524929748	124935.580627472	607426.777135596	226787.206437666	317654.331150522	3975909.03514306	2329693.5713633	313457.808274047	26280.4070183536	2166054.40563169	13646273.8188473	33317233.6759317	3120349.5966243	2054409.45714926	123669.798779886	5277245.4714494	1291205.44274934	976305.242822267	160583.628902914	1908871.60748304	3458726.98086205	997054.568922175	154828.674265307	746308.806978416	998653.94769603	1112117.41754373	17266423.7480713	6829277.61801547	51302917.4833785	442635.183977755	2003414.2104529	4745112.28174368	340804.043575754	206822.037846445
"33G"	566843.249161966	473275.161540708	1239509.78199492	36299.7128063005	239377.482078381	9852678.54749082	18834.5204252088	710766.945295582	284200.964852766	9901881.00843922	7964943.23838718	1532409.94846999	183502.122561101	236926.702116166	549090.540692894	2310588.05876093	7523262.30553598	3106177.07381733	5021941.29488503	2729332.51156917	1100475.89831871	582976.25680519	678451.083458444	1343061.74537301	832927.354586143	11394747.5234437	59580757.7739382	11524648.7960348	1240478.04100582	17850258.3403806	880720.019808152	56796357.5783563	3561857.19500107	89660.6453499157	93667252.6432899	2881859.46926719	1052082.35405016	40900534.5697118	4843010.7127513	349892.876706743
"34H"	3443311.46375401	83184.7875841759	7467617.50651879	99359.2212090906	50778.1533192718	1071722.13564976	34905.3794439334	162603.011984886	155113.255238133	268409.423508782	1892355.80497305	261079.050217526	239536.728106072	527195.852138798	418888.213353093	2522488.99931209	1847209.59154823	57028853.6458578	738975.57826212	96136.5333734809	3729770.66838547	341248.076863336	1309092.95666823	1376874.15773972	194999.147831642	7099501.17848421	18346648.6625018	319458.362664563	50587.7065046073	7116575.33947588	340114.345912716	2202726.32106343	389913.889962886	2232144.31963872	3339393.00053103	532661.396114221	921307.848919159	25608528.625826	318735.223528767	441709.507062098
"35I"	6383767.07342024	121594.089789589	324467.209945372	93411.0135753181	1895030.79596749	22069176.1521975	361851.897497559	159004.097390798	121876.071156041	1849969.69044545	676930.512306925	140492.560074383	2968338.0383785	183757.55300346	213661.505105846	538637.320862598	152252.643905356	588178.11560139	4883215.08621334	156814.223616811	7305250.52732403	5153263.99265735	511929.26358415	2338593.32712021	76747.7975970948	1877735.8351916	219932695.012073	1644550.22938649	274721.646033567	14244901.8420358	835752.170192545	1452698.87926684	919082.282521229	231075.008635033	5222558.73952476	199029.994090526	2825552.26453943	6526761.56425964	8912914.94468429	696550.363143241
"36J"	1079308.64886445	322130.616790051	4158311.16483578	152869.03279834	1229648.99084221	24031107.4114753	60957.3878746128	37919.4614682586	296677.733283396	3365779.74205975	185751.017562609	7006890.54074013	937676.22447659	1752422.78014691	26339.8535509417	3266013.8307684	1884216.22516294	927490.340492373	1351857.88434069	187980.424760766	188993.409505889	14002.6795756382	64812.5670279337	2611692.71677396	109186.71071543	5563354.75761596	312676164.582987	2365869.70710262	95138.5912199851	2087233.97825903	4755818.96933712	3020047.77108162	1504130.68497939	646365.516762227	38704313.7401072	186870.323221211	2738423.70309642	8803110.12344986	149931.233503665	394459.009586757
"37K"	933478.503601563	34610.9473935735	17161699.7655555	37903.0320524646	120892.795814944	4385390.68679321	266492.616020216	1401472.75225841	471107.130120859	451538.780405305	59723.8547203179	72840.3869791948	4244548.14077104	3887887.81313482	160809.762767183	1030994.44956598	2213453.53753255	6474203.93222638	2598265.10331541	1785696.77731597	2191636.73078709	83561.9445562785	1388521.59630652	238815.665290353	177462.339079212	1986707.2114884	16120762.6880564	1683999.34658663	342525.204997568	512649.590937389	52490.9618023948	6548264.14350106	600521.661371417	862325.487174941	23476002.3934082	1144380.22677879	1168495.24580798	5420233.03395278	215248.95847318	1099914.31347714
"38L"	499469.036204011	1576784.30391667	1603259.46820935	245130.645490702	333982.958552639	18872924.0199268	435372.02039421	753404.678282419	10180.166213452	9327443.57879668	444968.52355877	1561632.42367466	113616.497938136	1509802.59055938	276627.177034195	735306.190147035	3366760.23430329	11473232.6046121	16354703.5466695	147797.668175138	839404.083302851	485597.831615696	345744.853795223	1296143.21729855	173667.269511834	3780899.83433668	374455769.461049	458346.269018361	1180955.88132751	967352.114223421	159334.716599072	36349226.2335479	23751176.1626643	115150.581496362	83688191.4389361	322006.994057257	7973501.32058088	40583111.3518491	756457.982237162	160314.791968186
"39M"	625429.858395382	50135.5041886216	2433938.30960253	34302.1105512376	140102.014587564	115826488.358245	64966.7437669366	8306914.14214357	11716.6931089966	491228.535317829	1373755.10902386	4124672.64462807	454338.789082455	158871.892377136	26972.6463749053	72287.0698602873	1939728.6476266	4747676.39986537	4303050.50740115	2966941.99313874	28842320.9812604	803726.128552216	491550.969242684	122976.4758397	23742.5836363795	1430768.31298936	110456081.547461	98466.9782402891	184756.496702512	2038818.77696191	3918434.14553797	1294320.67910345	105739339.327915	131842.445110592	3921881.49168371	123837.042689446	14826716.4251521	477176.861777312	321393.731542424	763349.19281802
"40N"	748035.209145224	246520.816887394	5548140.5545279	26404.7431480105	304240.686483974	115853515.923495	332350.648388297	1124564.32888831	88605.1895704447	5572048.23386356	994920.741881395	227267.019868939	1149838.81389097	769487.673159124	334675.869079529	2134053.9707629	144544.506244448	1509531.5917211	35091571.6950777	124725.858122018	753864.133770734	583510.540025466	188344.919046413	4982047.70340157	62504.6073190874	10455019.4288823	34069973.9040939	32829.5302179196	96619.2858090179	116141.134843749	370401.858817737	9077517.42060488	2305575.30286733	4762350.81288176	994963.475470148	151908.636522275	12954390.619323	12228628.3983921	65432.1962369532	146087.695250571
"41O"	2471623.84410473	55942.3446284984	24250539.4901707	3027.62586813965	42370.9259482639	2256347.69855714	261992.256479403	613305.391448367	27909.4594861975	296583.064237924	219531.723305022	20859829.2659518	1088012.76950249	272097.539653911	69480.2291571578	406239.321744899	8719310.67510863	243273.238108755	676671.083755804	209110.788052417	1075247.37079945	3190644.25066775	484172.239333961	1372842.60585656	125653.11214582	3954678.89368345	229049853.838721	111002.565992705	738789.365475826	47823830.2976086	2269388.06898764	8177892.21288865	1498965.13988694	47596.0934427328	41883937.285626	662791.562497094	27909542.1056853	4857127.84630446	333529.642635429	3098430.27036064
"42P"	8248824.97016662	7347390.30554371	5404765.65682568	75364.3516538073	443306.885156165	7878012.21378091	5676.88295326369	688579.990280876	102440.103698869	352482.671001077	688617.564560461	4209034.95087586	1304648.1501437	1727149.86288084	501367.920203158	561265.475469882	942665.094083179	1506355.57406501	5844041.50608384	810987.62053355	1778820.61386923	2907147.91659945	94566.9604258651	1213989.6677457	60410.3587932947	1562772.19827122	39605347.8990124	279418.994501597	498592.143458954	1831105.74872581	805002.381539429	5202310.99571978	37944745.5169739	1050394.08548174	24291848.954084	443851.538911003	430720.463937761	17882601.5045333	357389.977007161	655220.047763234
"43Q"	398999.591391624	103214.925996681	6442746.48165026	46809.1656170141	692969.712901309	7430478.45889159	139271.749923658	534101.366879889	141406.450201507	241251.657549776	967380.868613661	8775821.04023793	22524509.7144358	3995856.87798902	86775.4218333045	2471735.13323225	44085850.5587018	19233673.6408975	3527639.91722488	209191.960408436	1746940.76875702	128006.414217778	1010108.58630912	720449.619345875	376413.124199145	1356093.02660977	77750654.8638318	326956.071830279	168153.524647186	208953.799189316	1059153.51623104	18380218.9937964	441264.078180628	106095.791224607	43591188.6208398	23936.8451261767	165065.534690733	2852136.12671575	1006240.05374298	24898.8026635934
