"","G1_1","G1_2","G1_3","G1_4","G1_5","G1_6","G1_7","G1_8","G1_9","G1_10","G2_1","G2_2","G2_3","G2_4","G2_5","G2_6","G2_7","G2_8","G2_9","G2_10"
"P00028",128496.528122787,115221.207947133,147221.444310407,98221.0684915731,79009.5412614819,68784.2406742224,119866.847299387,53642.0926712541,91063.9827780466,86915.6585236356,45356.4884062229,42117.7835837481,56411.6523778358,95279.7140378994,52005.1467652048,47292.9169014585,80480.0820040678,50010.9412718508,44111.725260352,31181.653979168
"P00029",252274.485313227,575360.471495446,696133.006992781,285262.467901656,370156.043086736,563173.281709444,341357.817291667,708525.745609445,406187.191937991,738577.982368148,755699.396892864,637250.325244994,258743.271417797,567102.292149362,305027.162289319,377660.973208717,202446.188926076,306978.762137618,640627.812793686,545452.637390626
"P00030",261450.041023537,335977.269121937,973241.707467305,682699.925840403,304807.348831068,412587.367476015,564337.690938158,228364.620094055,735698.648757354,540112.884084163,457425.692742481,231259.069831973,324061.378333138,212237.371977819,551100.120903577,138808.984631894,690668.464081269,549042.807441315,460174.380942173,587405.580248879
"P00031",553850.068991833,351962.682970117,169194.779858769,416284.797138636,206114.219736207,179151.990496134,461764.118438062,256331.953109658,334550.761621757,256987.802709715,438789.304820208,192144.019446358,264299.102096997,422917.43912816,273861.694947629,226573.089157712,338114.341912639,291439.987504744,211285.144763596,389735.615789532
"P00032",338599.936265515,763877.008193371,414510.523904893,217469.42713658,236822.697807124,270740.195305105,456957.452953952,242720.481604875,377016.160000927,298275.287046303,208014.625950621,518740.279102283,665489.186347167,227112.226886839,361163.824092549,114931.622310437,398816.525541294,128399.744147804,270937.278032316,570825.387521384
"P00033",217418.950596765,420642.567618849,268484.031003893,451888.906509169,250159.193589798,318328.62892675,473967.855447576,147603.789219829,420811.129640576,326447.228483155,477742.025863053,285389.25264536,440831.899241045,250994.010181699,402570.601142158,337227.555348973,477794.914234862,378146.201156263,367496.919501361,629378.421526436
"P00034",697274.795571851,1905109.15850042,779672.670183468,1389258.15485637,2208459.21392608,2791173.16951005,686024.75760367,1854400.36492734,1284539.89998263,1337608.71696978,889220.83429615,680207.145131687,1980996.73762506,2161702.5493949,1742034.38129954,1110746.80663853,1252227.19910491,1106724.60626136,1178335.58798951,866801.892848153
"P00035",51575.0264235862,19576.4389639755,46835.3256606911,104984.66454907,73825.7823362618,36750.6215794058,84509.5388034771,45880.3664542462,48299.5280664112,45658.7335047154,796276.462884704,161497.051693131,284966.717522776,79538.6629670089,166452.929299404,120956.443790103,535028.639931469,225115.525267931,259798.17821984,192900.190974793
"P00036",206972.501724049,183482.821748916,131578.906371805,618169.854074997,150345.071611443,193908.971111139,355239.418274483,74353.3773672517,296856.81608154,230608.406935245,211257.095519096,399452.747660011,334723.163769896,368935.883336788,454602.4245937,436338.771792585,407548.826158552,328683.253846506,366763.914942792,337680.151054426
"P00037",629333.449742824,426099.669595932,1013807.01885075,725386.466203842,1183598.82132894,617241.928542933,1046625.24918287,663630.693263594,675485.237732952,358335.885515053,701545.476108456,678931.343525986,800401.123492572,1062403.89065794,275457.786818111,1910137.98151011,524544.182377126,850714.58998099,1115770.52261639,551579.646442051
"P00038",509471.692280306,1012233.87849786,523563.072043445,460209.935616264,453099.195614537,533031.933767366,935554.558727302,715624.325698085,854903.270819626,891856.684568196,263722.213174869,497875.002222426,1117804.7696254,432871.392041506,383881.063504951,909975.642681257,663676.730547105,876276.439104573,500974.540727991,638325.228136884
"P00039",75282.709352904,84494.8861179092,154288.14727974,278388.915062595,176748.571946227,101025.92216901,155366.68205388,256496.048659381,243678.663957885,70498.9536190017,148390.436034124,153803.632388751,121895.449910263,74759.1618376841,65069.2757378882,54102.3095646057,202196.387443917,150880.633970824,103322.648002587,129274.704429935
"P00040",624957.327094149,378995.19765656,241614.16370347,562415.31303288,296814.359019719,372757.351712219,598703.343693558,317635.138943394,473600.636625906,281629.233810739,85242.6752812176,275747.816993462,524034.704890495,177443.923347507,636824.314703394,196455.242421719,348222.765593251,271642.065692237,399025.358616323,299779.767132056
"P00041",161703.098527363,86454.6418578681,251283.438842918,165856.772601393,126088.70153233,116326.604028793,122770.371072871,58619.4298995563,160063.316130428,78785.0266849134,364250.066348759,116597.945531756,48770.0534373002,59868.4330492448,43695.9625795482,21771.1048631231,163966.911425551,173966.985989039,145323.919165996,135441.474722915
"P00042",203866.746045369,288460.646643351,198463.291872339,286329.820929109,378292.840816778,498255.375312566,338913.379079747,765166.996768115,293715.35218136,650324.860773498,371011.870312494,389006.401732139,282927.233914347,211391.933238736,292646.782700093,508684.301832043,293910.301762207,300547.43643191,181346.077131451,471107.278244408
"P00043",1010200.39850549,994000.622630336,1338810.59183273,573604.421494854,1035096.07419174,654937.044124621,934862.612333301,1509646.0401303,1242321.86537022,585237.822922463,1488349.34315642,671201.519684375,622894.687121054,902158.298622944,732803.510491698,322255.119732674,883272.964134088,1303041.71653635,872600.07154807,1790191.5969642
"P00044",1017669.29977587,588771.830182729,892219.029443979,677118.889476681,1493006.32322306,1205066.34595224,1502936.812796,850242.722538064,1420261.69224369,619488.068124373,939473.820021873,763693.373688193,925494.698784264,1091738.80087341,1757532.34853858,1684666.99675743,1103939.68684184,694180.475612764,898107.206327724,1155445.47446692
"P00045",113370.52493519,269646.881706035,112126.199262426,187555.668785511,100922.016398112,217846.824617194,71788.0364407299,95028.3995894497,174044.47938447,104334.367434291,58952.3968180252,231261.98428887,197336.761604428,112391.964431071,124644.304647604,112209.27052337,98580.1872455188,284273.161984178,137388.922403639,197064.493066394
"P00046",593020.096841933,835049.175399125,287055.810058465,562333.431902158,483257.725354711,681716.064910966,145575.289475497,592096.834205669,438519.149241988,585227.088038526,376150.122498118,522800.967295365,326570.277979642,346549.22832957,907168.021781316,324128.273367472,602493.792167759,467956.957666971,672888.239363234,398703.544783808
"P00047",207540.108241415,150826.273727993,203617.125044607,340347.383686283,144159.225662863,251126.808446103,545596.904162488,99820.8470601132,125986.664228511,179314.989281886,219363.370097603,214018.933294317,184882.655947192,114902.093444394,281533.934256688,123660.441366572,282978.991280113,306874.268918374,233096.470934026,353157.848138885
"P00048",1239908.48192319,336946.114022443,422670.340143578,255779.321599512,438070.376186354,792091.912587208,382083.935682983,412864.677866516,382457.252604178,332473.382588207,316870.300316361,568226.038672833,344493.534153016,368016.985115465,901556.578507708,828578.254227652,343539.915383781,504451.232936285,337412.751822842,432153.68624391
"P00049",303427.192273106,929788.930584105,248065.851094753,193655.796472656,452782.708364922,325766.125694473,100389.116327122,352507.860119736,422668.059125435,311973.812997979,204606.528205704,817083.784275164,259297.051282747,579054.871551954,482834.631616474,787345.997003562,470275.248495426,246225.765303968,235528.284921655,448940.923691583
"P00050",151478.656534059,65411.3102617598,62669.4622822174,82153.1797808524,84661.1202851632,44915.6696143818,48894.4289998665,59002.2381978703,56599.9525891355,69522.4580111062,119961.664579646,28171.88044451,72182.8121693925,110615.808263035,51247.7138240426,47056.5407183243,177411.039710636,74703.3363092211,68368.8168601018,93930.7499491632
"P00051",101124.001686641,22298.5432738443,43074.6855742797,45378.0143628624,73073.5540712072,48168.9979078743,56260.5711069362,34445.5983198454,76886.014711441,44646.794978223,60528.0306579747,74535.2783753253,36554.1272060553,46107.6754556527,130598.775768157,42259.5057235275,110981.162823837,48307.0119021893,48098.1465419933,19509.0801239733
"P00052",46319.872049075,119283.761580074,61973.5274204228,83753.632136726,142053.022673613,116562.37150987,47892.5571914685,65549.2754603372,40317.7047587565,74784.0655996411,59908.1337491356,51205.2991793698,48999.8714654646,83022.1331941708,99530.0066109241,30743.1769694427,38984.5063818085,67267.1657889009,73410.3281965393,52793.5021687553
"P00053",1018834.32298724,1004779.53030232,1701349.86786168,684324.086199525,1217176.15923328,2998843.7691782,1713384.71601486,1531177.39510174,1851713.90339524,1697846.59197526,1166675.9114392,1543094.68542526,1379161.23327512,1123993.88108738,1061791.08079449,1417945.2254824,1440447.09287511,1045252.03757943,1235617.19121713,1262116.55896518
"P00054",98000.781336904,91410.489164827,104013.327699691,104501.707415394,93227.4295907507,154278.354932952,88044.5860133135,175932.685010698,189774.217465164,54520.5977958441,152105.960904435,79703.7934923798,71798.6691599975,82803.9055545532,162664.230950112,104172.21812723,105420.005260646,127359.1335398,152525.508878306,140629.4216786
"P00055",236556.362625913,227462.836037931,410476.9269661,395094.729681212,489217.384653219,482889.287022142,627053.46990732,593887.81866349,164631.953245957,311458.186901266,706291.592761426,256632.202933393,384526.233362188,354351.805150243,270906.480520083,339433.838262046,865228.049230351,651998.537163213,274962.580427219,741731.45828595
"P00056",269839.084381789,125897.309093472,227995.265130156,335961.764674922,149706.85713731,93580.0197066455,564864.494644707,211595.704108567,307058.344680615,305781.123456928,319615.890514844,216030.52453617,574505.306947868,146416.974661343,230531.801326576,92070.6794104764,178767.525477878,430968.731184972,178280.849445407,278221.49888317
"P00057",490248.845505855,594716.908687447,439555.707971338,406367.689858007,364653.810979863,184636.740147551,695623.155838085,233887.229033873,427660.298118425,272706.888202421,469296.604018752,657805.082039515,382158.776264205,446509.853979262,836452.058702245,454541.775039793,370240.740034879,661348.818192726,425674.840624264,193447.89042361
"P00058",344864.585066164,328222.207742059,452031.32968244,580360.33638798,371344.380278402,673096.750376246,207483.613750776,206309.639363161,353520.184037681,308817.580584262,459914.376573159,277246.006386066,209922.791120057,305283.42533598,403431.764277619,249656.171377181,467845.098159551,355250.586370214,243267.311141334,275557.424435961
"P00059",248050.570944644,91315.623343916,380485.707339207,413894.27955476,263640.696425259,175158.429647071,216041.044169344,528281.800530351,245771.816761501,366984.350971631,299760.539465036,205895.838278431,191650.916633242,366695.939579037,300602.716059534,260276.007926545,444240.223254987,230587.413882877,377639.398025665,379620.35030897
"P00060",625913.279983204,535102.844271667,916456.631184276,560090.494898873,1488039.82534018,1081177.1912388,572454.922641457,455974.777007694,405696.386742041,450238.673048949,207633.556228173,1263510.56658655,371136.67546149,594653.875276073,546673.888890906,2126859.53666651,284130.187408359,642156.648232298,583348.194638137,633460.800816007
"P00061",218974.951998121,101083.067096155,173081.055563245,125020.594945297,126265.391628224,139562.126774203,192922.48788777,67415.1355429908,324410.838063591,138691.589276038,108454.924514183,99254.3719509772,129805.894398419,97956.2541960324,138088.024561472,119751.704406321,244364.147578737,106063.515537879,112122.235432985,168586.913104448
"P00062",164964.138681078,223392.571640251,173696.133763111,265165.928108027,234869.991187166,245562.031173737,367032.659118337,158893.295843918,259652.332619004,396434.101179915,452455.672618904,223103.55708482,248483.911708622,283593.391816468,191037.12536774,203750.697471849,419008.882332803,138703.31522783,485407.264262571,335732.612589783
"P00063",705129.483083978,531871.48398573,1020529.05617772,819814.679210016,1072141.13825634,603839.358895929,909830.909063204,916973.250371128,697606.208047539,411662.061176472,643310.877319145,1147258.11730786,454932.417406106,888902.006558445,735244.733680035,502756.917042533,1911186.98008306,765898.264342655,591321.894954559,714466.300991106
"P00064",402389.9573079,518394.565132576,817769.9102987,293298.871489189,374918.782174447,607673.349397414,505263.813744388,568667.641127629,766039.119619772,738145.504020235,475709.832591293,458329.753396638,276457.453800496,323565.562307425,1062748.02741309,503402.084221745,317317.566004658,397905.274228557,412507.031177524,689735.697066695
"P00065",1238689.79445441,495193.425530583,660224.862863271,993728.821561891,1822174.52216798,946462.393253616,513174.297949239,1754539.43099771,1147985.02490208,1354312.70214271,606109.081113733,1676949.13882578,2060950.35887832,835906.18615809,1773050.69942323,1567737.69437893,621815.353912345,1466897.34995459,864269.27553436,869573.132931212
"P00066",672493.195755766,1021784.47641368,814190.508027133,902584.826253046,525449.467173208,1941754.94566164,1509107.08018237,1125703.15694053,1460132.49272607,691680.596788391,909373.530589129,553178.017623918,884972.220655394,464235.502937095,994137.874342765,786503.936044179,871730.202489471,996518.579139631,521446.080888802,1200775.53858714
"P00067",640218.609370538,469426.857722969,640221.798783263,829212.365613123,398622.505662538,338022.923605333,645177.319300415,526519.11054859,349753.472673617,375623.84856978,742598.317402954,506228.172566035,406453.936586802,243087.810959932,162685.915927482,643883.865378191,663993.514447125,318366.234339046,1002536.51570403,338618.927245565
"P00068",220626.683814094,127132.50002139,251306.104046469,190383.843383558,45467.1175659173,127830.255559713,213067.086673885,85479.5683301395,137131.494540371,111731.297164981,89979.0828297948,181902.994422961,93193.7970924091,111726.865372163,181605.610948095,192402.211009718,63307.9764957562,168824.288362516,261946.485540675,96369.2148778616
"P00069",242927.754173794,335377.77746432,460360.457220343,288667.584343789,287428.5429134,167084.348031914,263959.556762446,303225.676049503,371543.567159167,229110.520889059,332364.553348464,490432.75082693,236972.420843431,289633.206505224,212690.71616477,183965.044428668,221270.904139524,394483.84693206,212261.388711204,302484.740244772
"P00070",225535.277144098,75060.0222794258,282276.302629663,423973.359262991,136243.213035216,179697.601870154,317901.181271209,290308.827115484,194144.031795351,152990.505984419,226048.124809987,194653.651799015,177381.615504823,113351.270950407,78676.6090425492,140621.610331578,177554.51549704,184483.596533345,206376.951827511,590251.899848382
"P00071",168305.583858461,81851.0408544363,293004.721463512,440363.520589094,303453.937454135,109651.409344879,264567.379614773,210425.195144904,336686.751378789,158278.538186418,271343.274504935,169237.784214641,262844.777053569,87885.9604528474,146396.41216025,325259.827154956,579962.973541734,346089.479579426,145018.716609396,256991.238585534
"P00072",222142.861496733,68175.1398814133,292630.393336711,203136.055475052,119777.88760596,190702.321085338,64479.0568482568,70769.2650084755,81217.5142763335,165341.806352609,126627.894394919,167965.985358088,140138.591193843,71739.3292794164,75631.060363505,129607.766584217,127666.328135146,206146.080519269,74558.8582793624,165178.492728934
"P00073",33752.4610686837,17230.1088777479,32081.9620877444,20886.6388797074,18820.6912042368,10951.5017347091,45064.8974595379,42349.9247024817,40963.7404706533,48807.3978296009,46384.7676601457,14130.2820759473,17568.6021940534,28254.565431147,25160.4303167641,26384.0662712892,26727.047795,22990.8307466427,27450.2929981255,57984.8498386412
"P00074",143853.241638607,502332.074899082,271829.411580779,177844.00417797,383635.54147231,505346.774718222,270008.802243301,338011.811505061,528849.245072375,383188.926572439,390419.816012782,757969.352486522,281301.60749708,321217.761650111,489771.358196635,353081.37060945,162479.252057517,443422.801182357,290580.164801872,194905.582654736
"P00075",93782.4197254982,187922.975991727,171090.861861868,236591.097001915,134394.809491936,96328.5891909538,130144.569944855,61393.8609762917,163418.61484297,103701.303302104,77188.9949139393,79217.0279100554,148392.301241879,99920.9123122831,244157.388161373,104403.286587018,54992.2237445844,87889.695020475,120064.331926008,139100.455537596
"P00076",363962.25081301,223047.534493968,371535.646492701,283963.372437856,346689.469949329,229377.693568154,471916.040720355,262104.497120504,364723.527758046,224648.274569935,604693.317041666,103378.373208804,214781.880335721,172824.40798076,397196.65942622,211935.612361381,777057.10938262,501072.150178016,284746.930714923,529257.77188583
"P00077",67905.9076017741,36880.7797902925,78724.2229114974,121937.917211101,43320.7271854776,74652.7370795522,145560.039949377,42902.1559903127,58131.9827196955,53243.9573352706,78618.7014558649,71274.5143643433,40489.1052540235,44348.7927364145,49984.6234193393,19754.4213603752,70573.5090881563,58236.7642668573,41830.7486555202,51395.2967927905
"P00078",318803.763794646,430284.981418319,257473.722521232,515234.562845082,384972.698346701,621167.736722549,286088.216530941,667424.489137708,361678.254274257,579501.527837066,332206.173998542,247788.934242414,423257.218469836,356286.143874201,1306416.24407385,371793.095931152,607539.822246889,768041.333515261,690591.979470027,871785.243384962
"P00079",926648.34984754,388961.758268677,515747.445021041,1588354.14841488,564767.144300737,1510296.70678573,731314.209621352,681691.701809987,730936.407128356,283936.68214425,508977.734943038,250032.14572862,928029.511955101,1199898.84676737,457376.236425758,644442.838157923,1277941.35539574,442175.298424693,666831.515821671,837401.849772193
"P00080",82658.28440145,51145.5143556712,34689.6132183125,114617.105280016,30540.2789599209,52771.1070222567,89198.9444103586,40381.3527394743,66946.4249485669,31468.5968582762,26663.3158487945,27634.6636023096,96202.8361947375,45596.9077638167,32880.1346888425,35265.8919484606,75472.9371212228,87338.618503116,47128.1040752516,62661.689178641
"P00081",1690493.3971699,531749.745441228,921589.195156144,1504216.71477071,1124421.79327974,1148994.13660645,1081948.85079595,603945.215957276,853083.512108811,1062665.19478155,1456993.74215775,460887.072969521,362289.262093107,908617.738874102,448267.246164374,614819.160057683,1804647.9011234,1642224.42118364,736200.808431264,2320485.38382706
"P00082",49184.4616838378,14793.896214452,40258.2065965036,32191.7350419553,27067.7150991812,40539.0288141371,31593.7881285606,52083.4278231416,16862.7349980592,24719.6195280057,43825.4166324632,26305.637385722,65547.6851266902,44642.0474381432,40601.4067094241,40209.3061605742,63315.7955139103,17170.563347469,20485.6202881435,76849.429715451
"P00083",378691.557980586,617466.830987006,561731.488970923,738748.019678625,296392.544269445,537721.06499402,396702.825714013,418623.431411866,411329.575448072,309058.970895648,488901.98840169,732591.954191596,752038.931332316,173775.285675935,500980.448739203,212336.401081089,427137.917126825,619082.399599291,124003.873267183,290469.268876094
"P00084",485963.12977366,513803.856232131,843402.372914066,355799.418868052,312569.225631326,344526.708843026,286906.83480743,318475.700054997,234791.584028193,249727.476152339,467948.419269252,1145104.55798518,527757.792614017,459586.557877415,171205.623986481,504222.335119297,810683.312099752,598612.651500823,422680.064257727,376799.567193735
"P00085",324082.404443963,72132.8648891522,296138.726062967,207775.930112224,217408.313224469,212645.669952266,364291.209543221,197087.503544598,329352.734879729,299026.014657066,275266.259579074,243195.810098668,278345.123147551,202308.894163453,134099.160337715,115256.874274446,429176.739603623,75231.6191263674,235451.74616422,148439.33287837
"P00086",3351974.96792446,3987357.93303681,3048369.05551455,1969634.46305804,2344661.33859119,3500349.56954669,2328731.58868252,3449773.48373281,1728002.27668602,1898817.60280805,912615.804254206,3200150.34410969,2246771.54785888,1276987.79973597,3069623.72082518,1480613.479161,1867431.08918558,4028278.04842154,2866037.91171319,1596325.63927879
"P00087",90344.91582401,196899.327621216,52996.5987880019,143623.189023432,126105.467577197,140213.375780641,123362.219637501,118981.43991484,100241.646210799,77623.1522847452,110783.75147482,34349.9877356643,53022.5894735462,224737.533044371,77945.1435193457,88514.6352303755,110645.150988805,89967.1652419857,79819.7491083442,97170.8554770905
"P00088",318007.784089899,609856.299385268,326842.25936384,220918.153531871,524779.574306481,745797.758607334,370198.904950092,633135.866086371,445501.58636257,482586.326644116,327853.301638353,305165.438570951,249630.123823762,1394127.85981155,422311.043630977,296847.143864697,638477.25234651,217738.300792665,513984.859941766,261838.446534516
"P00089",180020.188503431,143897.270801146,178392.135978424,210565.738464032,147535.889162352,374815.326060911,264228.968295047,110411.988722449,72093.6491124517,84777.9655896602,82851.3937849955,67756.8406560911,179872.952354477,125606.922032991,132008.91206122,161214.221119428,237134.16898661,163455.593621928,113692.229465444,122623.478728731
"P00090",474430.194596364,580715.830429383,293371.561198735,508366.578937683,333688.057089449,503599.867766204,262426.809081344,464851.810787769,363525.086317614,383185.776440744,419189.258188272,481778.839984449,797969.334901197,367676.121348948,511990.567778835,328513.201691523,525616.03763314,927564.659077342,1020336.93719042,531602.563849118
"P00091",210285.995005348,417244.422652435,338249.945401479,114298.718777949,817078.852431267,335868.400873648,206024.973599024,357879.568772759,403846.372338466,505559.922497442,331802.702083266,370555.597378689,349706.261837064,676423.071723906,459871.058123884,532791.258135099,487528.665048048,156135.802486247,206462.047296622,363533.435736022
"P00092",261263.666433754,437287.10754342,337327.527704717,452738.202436055,449260.388307402,338154.640730429,574396.291686295,289125.324454472,104735.703023048,213439.866183818,599789.461979423,369310.488342868,213240.771609288,326657.659543326,238022.122978709,339140.328365046,451680.034597192,881826.031156141,267959.589707271,564311.592006237
