"","G1_1","G2_2","G3_3","G1_4","G2_5","G3_1","G1_2","G2_3","G3_4","G1_5","G2_1","G3_2","G1_3","G2_4","G3_5"
"P00011",391970.096704778,99179.8404493522,225257.956207398,285692.630340656,277945.165788471,108991.930598844,146321.198839739,240917.973526372,304819.706170269,297162.937257848,74274.4108637476,237305.437153917,625180.539146669,750724.945719473,245507.528949948
"P00012",430740.797524637,163862.084259172,409333.241095332,475725.697859274,282748.448867404,137004.447877428,132902.304679272,259320.335301332,402370.720762239,363233.152187333,74705.4675289695,396367.270210661,663536.361837368,903884.531171468,383481.979299093
"P00013",730698.461756523,234028.77738228,614732.434656421,626153.006861889,682088.931443606,293231.658365177,294427.630400823,363116.657062284,761306.639825325,688789.803049004,172552.526721978,547668.019083997,1207587.38291379,1438423.88047697,452011.73600134
"P00014",820020.224854007,260525.255592494,576649.43111476,766352.94263677,662972.552315074,273200.524608232,222244.590971132,353027.59120777,782940.564871395,709020.777428503,193009.704223514,631776.068255031,1158112.05917687,1066046.8122216,580721.061116438
"P00015",750589.989299975,181000.341687427,646684.373099964,586090.092993589,518759.737697112,162232.758498489,443879.265952158,415919.67864775,434332.091116216,553723.608837557,155381.890073887,361847.098191959,1344394.70316114,2707900.8374585,364181.901416087
"P00016",147657.34332853,54047.6525697237,90796.9305280201,113864.586293638,121019.773363717,33211.3247041315,65706.4158966516,81229.7855392796,107189.728168735,97802.3791695709,27969.0135979387,74234.9212602299,216991.874791358,440066.031958142,73399.6708059662
"P00017",502912.492603573,195134.316626774,235761.271092055,384732.512594719,300031.837711914,165681.607518406,99265.4634508695,164241.349912952,398855.063428498,242809.412571666,103686.46729867,282141.677411437,524708.685743799,508141.049677495,400803.964626467
"P00018",1084302.27829513,266294.062499018,585077.366786262,812515.773466053,642856.15962649,394362.327362006,323132.13209101,336092.505764164,752986.06467361,577309.717883422,193917.608736478,748109.021902581,1269539.26696547,1854929.98315179,733391.587902515
"P00019",397637.574297143,154472.658143078,258056.145526412,310822.230004736,222501.460472091,124624.814612858,106569.167362943,130826.968025435,278728.100202821,190168.235447189,65873.5234923444,291942.638076005,489550.870392423,479549.972411529,327178.609838674
"P00020",546268.695767978,131465.215547443,364980.907136141,361730.210439595,426235.402014676,121606.257611072,145521.761188222,201839.911459143,319572.724739366,293860.659851177,70016.9873420744,234884.896334112,640131.235720943,1118685.38126025,309427.703236815
"P00021",176550.368755536,40758.489583997,90122.2706334067,64860.8366612892,99993.8857832401,23365.731465911,68107.9670620396,100917.592489911,89111.4717903394,92879.9968240832,19419.9640377096,81096.6580940427,230224.283002237,532506.764355958,61911.0539982394
"P00022",281452.388603823,66874.9711012423,183453.501430398,202155.982004427,209275.379409595,97446.8920805296,61460.56095083,116173.177636557,200120.319060186,170654.597207124,41725.279017176,213939.804980072,308524.617718577,429100.470720335,153996.454418672
"P00023",615018.854791997,198697.789508796,499105.834553295,549371.799237817,374822.894824864,160800.600004568,253033.031477525,303334.28563589,592415.587543139,476493.215362181,155519.650401613,404635.537571349,950674.140363047,1305317.51018081,408662.263494352
"P00024",1774320.34400979,816406.47548129,1577404.92522648,2035327.83731166,1334303.3843914,1169230.23898881,538032.328262382,1156728.63209319,1633016.54433571,1772812.82580435,395547.622857866,1618659.70453713,2503672.89489532,2522468.97987676,1635833.42796997
"P00025",1166347.957921,314995.571878982,1251878.37219609,1177650.56420751,899561.226277724,495574.761659574,507655.755410482,684775.134565489,1034103.75976996,785209.936077228,288014.331551221,854462.751077561,1888031.7684748,2629390.87799945,693754.374471834
"P00026",358160.444746372,95760.2364838827,170405.645125548,264611.08403306,225483.213337968,84082.0134259382,153803.026054559,181615.520782832,198608.157771012,237432.165377217,60671.9979142277,196919.214317648,637192.949322019,1067871.0726551,189797.143701158
"P00027",1645436.64525893,580601.795865269,1207353.46393296,1658338.30569167,1502138.31315115,466623.459829993,703046.809110438,952427.500916508,1400208.14692298,1298650.87603778,366087.539255202,1437355.7502037,2662027.01485262,3261042.19799411,1037137.55959607
"P00028",378263.270165196,112339.978060287,348068.54904336,317221.224203903,279546.683587752,171521.275487145,108801.565527175,192421.72838637,360372.889893367,234663.539466044,64192.1605308695,238133.232873103,484245.785389486,679277.767433345,216194.802148059
"P00029",363387.149905915,142544.111837836,240472.608577225,274590.555269663,295572.311771865,139261.262938504,92374.0109118211,198559.110422252,295042.597446559,267592.462133801,98393.3969831694,232958.874422757,480649.260896206,636280.189900395,290971.749302786
"P00030",115335.741152201,34465.2186774169,73944.0637195507,80942.0985614117,78936.4328315543,19054.0135728983,57051.0709142206,74978.2330095794,58657.2217450718,85178.1757163053,19008.5773963048,51307.536690577,158025.212346833,420782.501415289,58016.525346538
"P00031",107243.4051412,26066.3970612921,55483.8197539618,70639.8937387412,71844.3314742633,24632.2912983208,49056.5198692434,64996.7361688998,56207.729967942,56989.5016437071,23486.9163135653,52301.8930495867,171202.510003634,240608.276265741,47706.239928712
"P00032",36072817.0434561,9531285.01009214,21831986.6049729,24467991.8007564,29138247.9727441,7973829.55234978,10850301.7181385,21915733.4710546,27033916.8341003,18159355.4340108,4698934.43305399,14247719.8912352,48873683.2746222,69572298.9509932,20157548.6406497
"P00033",202909.91281532,46445.3587291918,127316.658062904,105225.586301138,134437.246855577,67980.8147387209,52573.149422669,95667.3164062209,166679.854846946,124591.112744566,33172.122960959,112948.207321527,222881.549209529,308147.52141608,135688.262038371
"P00034",370641.82603416,76602.5834607541,217872.891783154,158154.172157357,219149.369723211,61721.9089360031,147242.417945175,174609.392124348,187374.489488218,206087.822170708,44293.0339668214,145923.401347472,443773.724690654,1389429.19774933,127769.333592683
"P00035",1147353.51833534,247279.432742456,531817.513802429,548792.398033713,514675.277073419,255903.428124903,333711.001124819,461157.318386924,632100.629246099,712329.759541105,189447.35963469,575878.546402626,1429242.74422418,2094350.38575143,470345.994750515
"P00036",4644138.10972936,1351841.79170892,2522119.66042608,3475288.84605457,3252454.41133533,2208278.36136082,935150.148809629,1546789.12123124,3759451.18166867,3072171.65964966,762983.978838603,3798416.15889408,6272780.06339028,4420861.9848966,3059504.37005472
"P00037",350380.023943725,88149.8028142725,222672.155551951,248683.426637802,218150.264699905,115199.457171087,132926.033693139,185802.074160973,214073.249113584,239005.167229577,45827.2679584505,187638.208198208,576107.834871655,833633.610869461,146256.393377674
"P00038",145088.662573461,40497.5600120263,94383.5593409779,105033.590292051,124024.567762449,42572.7805951048,56308.1534563639,55560.7578300894,95986.3651767788,95420.7929967157,26667.2994367891,67895.0474371748,218015.1821624,324972.12675126,93001.1559730284
"P00039",19916.602725414,5267.67147840059,20256.855252346,14047.3609305156,13285.4043703289,4210.01528670314,13240.9083101267,13631.0826264291,17519.1950442782,21577.457156132,3733.40397661293,10810.0149163999,35388.223849408,91616.0241425764,9295.60062422853
"P00040",7808191.94004963,2153444.85685182,3954993.84610655,7586553.93978229,5832365.60606158,4223716.79802386,932452.091099734,2475673.2866779,6808532.63782333,4651933.80686182,1794512.19539075,6914471.55042361,6830223.77334923,3783820.91525535,6394300.79391187
"P00041",1406587.1071992,726747.675906899,1098808.10358135,1251266.48390282,1082104.56963911,823228.408948563,334003.808832003,703795.07214871,1531131.53524909,834212.060891578,292692.143099143,1107260.3248706,2664616.05178466,2387903.55859421,1225933.65668638
"P00042",69483.2859966956,18835.3146095707,40566.5232502744,49471.414122623,40783.5923089154,12933.3337775958,29226.1227852049,33101.097053009,53741.6363231939,48814.0846823929,11360.3799033022,26408.7946163263,97226.8342752592,173816.153906677,33773.3841744162
"P00043",88213652.9749145,37199610.2822535,57252610.7045223,103748409.765479,51621650.3422301,49671313.9171886,14675993.0843184,26558801.0167974,68273081.879708,47529852.7455929,22388684.8110984,82999835.3691307,80861359.5998371,48305883.7457894,73322739.025373
"P00044",641928.924043651,235146.617079972,449705.037809214,518315.727207524,423735.255383332,243882.888543258,293508.171106453,390697.637931787,607861.053543857,492492.223467668,132139.416581265,402134.908033032,908201.872872855,1103321.55736299,485155.659607819
"P00045",5985081.53494807,561599.196764501,969831.415009419,7396651.68430026,1106600.18837681,836669.956429925,2090988.42345325,620591.356617986,1620739.26260398,4760629.44178742,347682.074241064,1094142.32797978,8959787.34282707,1922412.56132069,1429234.65939112
"P00046",1917748.38521513,507750.906885497,955081.777361795,1092676.9401496,1167430.35767739,695471.994508579,331567.783831274,527720.835777245,1594346.98887819,943633.528548727,230800.911093397,1297273.92035673,1908112.05678789,2000237.08708549,1192838.72546944
"P00047",183931.256798683,56795.7522045105,134317.750132196,136378.874950331,129470.471560604,39659.1329241968,105179.689316729,126030.991919725,113828.77210056,145196.981061539,40996.2125292197,95584.6657810859,321089.652730585,700762.516557883,98889.8563726996
"P00048",126606.767591705,44064.2520353127,99089.9663949734,116977.46044876,97067.8259307611,43207.0973887459,42308.1228113667,57913.8153722806,84625.8754570234,103003.12491511,25737.6451073877,69155.7839992954,166500.259444012,286291.611759615,75818.1280179376
"P00049",4116093.22232308,1043656.52893944,2137268.82737975,3173316.70517031,2400916.01210968,1567220.01619041,874558.54010596,1894287.45247447,3391420.06275715,1733293.79606181,871579.871828628,2496544.47426968,4524773.53897357,3658304.27673962,2901230.14872034
"P00050",1507099.29517457,577086.906827622,991115.38821109,1545730.85224618,1288625.5236277,623412.911228948,349625.778794778,674459.181178319,1216845.46946271,838160.983345945,283082.167119945,1273006.78608243,1324662.73041616,1831900.99833125,1245105.98427727
"P00051",519509.43010222,137019.974816872,287662.522930903,544511.703363387,404948.423045791,196282.264809704,118244.239981339,235929.540060229,401647.078809291,276377.228673116,113364.904594868,349549.885757385,466672.23223866,596565.240149522,372033.215040855
"P00052",2765910.2167762,780221.415941077,1838339.31253823,2459358.42542049,1840818.72241627,1482682.39053322,487310.488442671,918162.376794107,2465434.81558407,1397524.84191597,495059.133915754,2359970.86187409,1946638.60960614,1793007.13370532,1821075.90332923
"P00053",1152018.29304136,451177.833189085,983545.499618575,1340318.31130656,854993.402116868,698155.758319912,234450.301821117,510415.691814135,923776.111336204,782555.178231303,214217.510829269,832866.5828585,1346545.52647067,1191015.70638647,791772.275918845
"P00054",1290839.81153136,372926.29888498,715205.79872821,825182.806350595,598890.390178675,300025.929609352,336080.498771108,425038.816829514,788579.970577867,1080767.45556753,152579.849648606,578060.772834154,1766179.41457893,1719648.64930697,604022.855349259
"P00055",1263366.31752714,465067.413478042,1029720.22982666,849695.226546038,784018.207052008,418728.156070159,607788.589254607,933652.579277877,882076.982137718,1236656.05612426,228428.665338211,687530.13347113,1934461.8421563,2979105.50483658,927091.327679941
"P00056",96285.0942277947,24274.6486313327,64200.1724892031,69715.4486038147,56921.2023755237,25791.3080220384,52288.4189042791,55531.3716036362,60686.9230777872,71258.9048750311,14900.6439904953,43564.652087622,117405.908190236,304005.591178228,50210.4255751654
"P00057",1035260.02868878,432853.523888569,642486.749485542,730749.009264547,607573.612431527,339992.059526625,257542.120967388,420350.472256206,750671.366646301,574722.135802853,167309.707609957,721093.134827358,1227726.53691497,1293870.72086683,704202.285061442
"P00058",765537.927636054,251366.014577001,502216.740149623,675356.236265055,469506.875050002,272469.324503834,170590.913623041,325697.338678986,618747.534001609,457520.666686498,194218.411522133,410125.500921458,845137.596265727,888182.550870201,619646.960762025
"P00059",1093736.44371715,429428.041814942,811277.911349057,817913.801562699,703703.161400055,656577.777024097,222673.515305417,475983.360824808,866944.151386095,685107.911154367,224827.011593026,899619.701384225,1385908.22214025,987597.110378875,714897.558099999
"P00060",225164.651899431,61028.1091836197,143856.619562008,174206.874725432,148191.903780995,94884.5130827747,50590.9612071074,92910.5256159614,147168.547359324,135572.096412824,38019.0506559566,165586.616238652,321063.873904485,211169.10151115,151561.027049846
"P00061",137141.808190187,67498.2218683653,288157.294781115,131109.227727048,210801.080881495,51069.3682685705,88273.7431110917,177053.556641967,244962.32641402,105744.617780585,60548.685651577,174197.992084948,253422.343087261,1126915.28337438,145794.566713961
"P00062",1055036.09100887,376984.185980661,673592.484665531,855394.277197657,736611.941725647,348515.095000935,350365.738665354,493024.58016022,854379.652666133,641029.491978082,226668.204891117,640460.824519963,1672138.57420007,1966964.87131161,675996.074378792
"P00063",224523.345342308,76162.7975353906,176228.170794682,163279.853547921,179098.101092623,75372.450116852,96972.0036304397,108070.572918194,182834.002576595,185491.871965305,55113.7431051485,171662.233415024,383596.725474287,483722.991905637,179344.151316316
"P00064",337246.956857876,82484.2578272421,214414.936875898,215123.008604539,194453.759482961,53287.4118399163,148514.044043692,155558.261767819,199397.459372627,282420.349587196,48009.8498729467,145042.586017863,569865.271303631,1263045.97339898,172759.676606082
"P00065",6394654.95233252,2287029.00268036,3800850.67111458,5025001.93073353,3963030.32003075,3643780.11753122,1227775.66817649,2123247.04081971,5401087.49532515,4728916.00647517,1026034.18808793,5394552.19971402,5614098.94453933,5607043.17747812,5093472.28514537
"P00066",811976.612716639,307571.031577544,637534.325445921,653387.703484926,692368.425442517,373056.724057529,330738.1681732,436028.603503903,798922.76595171,626234.523879379,138001.786513685,634990.476278859,1492907.78319776,1955856.69106614,611839.107297084
"P00067",776078.495645823,205913.997092244,541839.97934799,697962.436287437,502841.517462553,202803.699698713,259638.57822899,432594.455928431,604485.80164655,446992.930548648,145520.719728501,517392.251332066,1139623.35732134,1762214.68753462,480010.240307777
"P00068",357872.347956,110797.772883232,214143.510796455,311798.648652243,259072.79902605,89958.3418789292,123158.551171377,164531.009747411,245084.857589668,214466.479274752,69178.4769485079,221201.50314431,350717.656230847,572184.74077471,182121.602277219
"P00069",1693239.35867162,633681.373031859,1181390.63712257,1228435.35631493,1363421.18545524,837228.940030195,638497.612283506,860854.309097786,1400960.30393721,1199462.12074508,407451.995492515,1375504.40410803,2489555.36319529,3226342.28578216,1087081.98482116
"P00070",40892847.3315361,15237768.4844751,26436244.3929948,36548131.8252139,28406267.49461,20380073.5272331,7386800.23875882,14221892.1875151,30670672.7106399,20829944.976992,7982666.34286523,33685376.0111645,35306759.9225436,26728259.1118047,31967671.7471136
"P00071",1698728.17450733,871867.593226705,941918.760066303,1904895.72371292,1249503.46281408,1586682.51320589,263608.812494486,584938.88328386,2113914.47330039,1207347.28045836,320526.030506054,1574062.4734506,2210125.54655132,1133449.99337502,1649717.33318419
"P00072",129922.397704468,31652.826158398,118915.638051737,82916.42210649,84740.4493373835,30580.1642481748,117312.506941708,117814.828709688,113218.849077712,110389.964311314,24594.7486287963,65282.0252669448,337579.490535982,821899.93285748,63853.6396022506
"P00073",1231795.23837522,352214.310024644,673089.128146075,728005.777378769,820382.046899525,326150.262296093,250908.019543419,423646.196600787,846049.844386337,786994.03471951,188195.882775783,511434.300424027,1634045.92912716,2249722.09735974,738272.204951065
"P00074",391826.802678505,137875.798396425,255447.822604796,301888.819351612,300890.447910033,152744.384612666,110573.100356578,221661.173938576,279487.215198049,257169.170546132,105292.256115668,273484.526190464,470169.440933749,667920.600220984,315686.000832663
"P00075",422061.593219315,99012.0692302198,165362.057092507,206586.262562975,271710.661903254,74467.4615039974,173124.229298189,176994.800619829,217260.528141989,281636.284959841,68960.5290864186,136524.29250393,770315.574397838,1200553.45735962,167413.868519309
"P00076",944519.405023657,366729.57987348,591487.659546459,787809.814092991,642743.313383233,482474.508114701,207683.506957398,367905.640977668,784788.602533148,609837.518161392,171826.201057767,1005905.20036593,1188462.1782332,1246371.0646003,818107.752908569
"P00077",467359.554039116,137718.986634264,403925.210966023,337551.666069091,315067.19995418,219895.323955818,132825.976815554,179741.153779286,331448.562293884,271129.02928353,89883.0518847373,259694.989225481,611636.963357069,564752.404289414,315742.527103684
"P00078",2077210.61713383,642337.355031128,1466717.94451615,1714907.31307343,1425538.11040863,663265.060507806,629338.25075249,1096087.47385666,1634687.19785006,1780135.79036647,491099.582558318,1260994.43274386,2670192.83164412,4197475.67634749,1411312.36284665
"P00079",2324317.7876227,609884.686990793,1154734.42948885,1611468.29121625,1713179.71364068,765077.793069424,854583.699567179,906001.517208694,1659813.61294766,1684726.04240178,475562.626087569,1220669.28683564,2780575.89250845,3283453.96676721,1317857.71761264
"P00080",1462979.17114869,607922.06275472,893879.859582662,1560987.76913862,912411.94653399,869111.788280062,281921.512969274,749954.526928376,1250499.29564739,1179342.50633258,463354.018577157,1239778.51905815,1744845.25243969,1605875.40809801,1417240.23264333
"P00081",1266408.48627937,495148.185741118,787633.873007074,1022902.08911121,788193.319008018,510501.184271754,340032.181421183,586295.124128945,1214430.67766257,1040195.02337937,256310.054504017,697492.961460267,1754030.64639877,2057456.36944641,896911.783767405
"P00082",283795.347398846,85878.9754441325,235450.54478551,178588.218863299,235709.264978291,66190.1763306504,106794.494452375,161875.859426148,195050.518324181,243440.563924053,51489.7747544565,129783.650563526,315781.539606328,604122.036327299,177663.17870095
"P00083",235977.403137317,60662.1199014356,164767.382840649,191360.818486256,207269.104819254,66426.440067615,132626.300234432,162561.257336162,211347.426417401,200707.351295784,42728.0678954671,108608.42869166,452564.050747056,704869.640250604,172222.034833457
"P00084",1279706.05603316,490717.610761182,805621.181944389,1231849.1927163,1093434.2242958,430627.444918542,310383.425629716,543496.852321187,927886.564115075,956106.089270468,274812.249258501,874361.87031019,1492154.26649155,2088920.59857093,817922.612402051
"P00085",560036.196381118,148199.427583554,316660.711001078,350918.100730784,349739.56987926,191264.570424666,148315.626776291,376861.589938045,422252.062106119,445135.240527685,95039.9189782165,277842.909535345,942400.74467433,1042540.19179859,326758.653733018
"P00086",2216547.90420855,778670.029789818,1779830.40600409,2551391.09497823,2107639.91475894,1369710.59278131,623730.192812471,902037.941611368,2079686.11063765,1962688.82871596,425940.564734336,1813705.25101649,2556936.79886718,3193530.29346429,1831747.86959436
"P00087",1249985.33234342,365608.148521005,1006226.29181789,1306217.88848599,905001.838026728,608599.327853631,339843.918055531,701729.018132802,1064843.4171493,776631.006802374,261212.357814149,884437.075941197,1628403.74088774,1529438.5165804,844792.640754453
"P00088",386752.083323563,91404.9448392707,220408.887321675,239340.121896078,227919.073338454,99216.9097301666,115141.242011891,201315.703317672,273265.734839903,224654.176847635,62897.732320239,163978.406250534,639706.958560458,877361.014804311,210805.452745861
"P00089",462013.680093803,154406.06616003,296466.58813314,319610.516885205,313303.170702837,133518.169223083,189795.787687381,187530.052155853,300489.266440735,308369.265099543,88837.750600128,275604.121458662,603527.970544379,750429.984236863,280661.132362483
"P00090",259215.207832235,74518.2474252496,159273.823546914,176722.932563199,149028.572299672,67358.3467297348,98524.5680166158,106514.092992496,158613.540300299,163418.6897548,34241.5850475161,114245.746481046,328520.817751686,620103.907466135,140973.7733483
"P00091",1602964.01802753,641086.832443138,1040344.13562646,1490454.98795046,1190737.60188071,670221.139983083,539111.947988445,836492.224003932,1352629.60468648,1051696.29739857,408130.019969619,1103128.20369648,2124194.03156821,1842773.82722992,1334724.81004613
"P00092",216564.667227023,39743.0166110048,157827.623469062,102143.206508364,138875.996326144,38994.6298751857,83262.2163886342,129799.125202083,105787.175913566,163506.404335173,34988.9644416051,94445.5217953997,355050.117582806,647543.690939618,110245.093510861
"P00093",3739130.42369581,1068647.47066714,1994202.60577591,2901240.83257911,2562816.967626,1010644.27532558,857659.066150005,1235694.42477949,2663274.18237071,1859751.63694054,674408.771976217,1926562.90987475,3581960.06571267,3728486.6296055,2526749.99033155
"P00094",325231.871214735,62404.8378364839,149765.525917301,173577.182733088,156726.650680263,85021.4820532765,79555.5254285141,121965.530500357,205806.935206189,216290.990818903,36811.4678190631,129924.051574191,477311.23221734,599724.728637271,204059.7509181
"P00095",94404.5936480516,21799.9379581753,59639.6675183111,70067.5926327799,49974.4761761168,17390.9187678144,51828.9494373277,53323.8819664612,62461.9736855432,68915.5565482422,17900.8000724827,35413.6400362559,169314.231809979,293149.285310211,37766.4777686602
"P00096",148357.106911405,44170.9242062342,100349.898412343,119373.005827124,137533.511233171,49284.8946057252,62007.3509055073,96793.9407201481,122991.432026383,87263.4740194199,29386.287778199,101453.731461635,234281.923463924,470101.400733131,85322.0083330631
"P00097",803605.769725092,174427.549610502,432742.335601695,662467.316572253,456167.970475305,277802.321740326,165413.931577026,267874.841994103,663245.756450987,418785.881401428,124341.903826666,428240.353477159,736500.018943642,1064656.11632072,376993.177944794
"P00098",315313.595835573,97417.8675804134,197704.001598245,223885.951463508,201155.939006721,75048.8886051631,171935.099721928,194289.479838953,293009.129449048,208022.561908222,48424.0397073323,172465.831283029,541125.81112922,1040011.27225799,186522.811332275
"P00099",151437.17015876,64177.398549236,119798.140138684,127506.050361283,110693.783878368,62032.009164312,41894.7344848297,100355.306697604,138590.417574514,114717.858841371,30506.9726729323,110252.094933305,218104.508921677,327771.115419035,124777.592627139
"P00100",890994.854864515,337863.098970228,715651.968519643,859324.657017878,542254.867655238,353888.668721314,176555.157809209,301002.760655766,930256.363460653,818065.147775606,190431.299125713,557659.363138026,1108142.09038417,734596.648089401,721090.697606105
"P00101",3250415.63506127,1158113.208807,1834354.71950923,3035391.70889203,2013000.10104984,1626364.34586839,566228.494127675,1367258.08943568,3176788.70224741,2051723.98452776,623125.582002937,3050170.59494497,4000442.33884818,2629709.76494002,2167668.11804636
"P00102",409732.865519204,124608.819755701,211289.816042953,286375.143456415,335953.252891173,111684.55627503,124837.435049238,187464.913863006,274544.151070357,210612.361862416,69184.842242463,280034.655504403,649752.19226189,981553.077942445,268988.770627235
"P00103",1640033.80482335,586344.278337576,1312412.60399975,1595005.73271456,1388607.67348522,563192.569667384,704938.949749467,899461.004468718,1365187.13308055,1257184.81303758,461487.335727059,958383.703492462,2462826.31192099,4114461.88031821,1207675.59140126
"P00104",1612988.81724833,630175.416157757,1214790.09304927,1558952.10650234,1260414.30670195,861188.737002962,321297.956169543,735917.305284294,1651106.3822756,1070048.69679124,371640.02124222,1851882.71919406,2056410.73183292,1647249.23383572,1532484.01020274
"P00105",1012792.11763078,412772.578508829,689680.909332799,1050706.9520285,831122.339892238,395885.611318011,269471.978066434,513999.034273062,625060.747699913,706560.176726015,191142.266456866,620930.226346226,1309105.12850029,1632236.71491953,624302.91293093
"P00106",553810.51849656,124054.446086288,190492.255359045,221340.132891211,269441.298629804,68461.9922353089,127518.728809156,183417.0166175,287772.978786502,275721.142309561,64178.584132948,148386.956190747,550088.593316635,1319356.79927819,193509.947391958
"P00107",1505131.38825275,448851.023644008,951134.623388629,1177942.90559859,967082.336330146,513741.751435148,448441.774023176,702026.240194367,1180491.16471308,1243419.48271457,246976.870976857,827768.824484554,1969433.29409944,2513766.38977709,986228.127269229
"P00108",573234.616588669,215929.815584942,440820.632054566,552393.628835351,370159.549763307,244453.022736182,149245.369520024,222217.055321025,458391.972556222,432747.56237835,120313.656352944,355040.639960422,672665.412721593,696728.864752205,439934.302020353
"P00109",173822.072574239,37943.4594279458,112034.93199641,74637.0181393197,125722.087403254,39227.3364503478,56904.9132341132,101166.147289435,93759.1745746202,147726.506422581,27066.6761364864,86028.5742394114,274769.714700467,504533.192742314,74612.4223856582
"P00110",868886.772111066,169373.747441274,300135.369169208,400482.047196236,420473.584778316,185309.59361764,144508.557405635,206809.818925196,409523.887096674,341821.395635226,114779.879872872,317657.981656373,503333.723866202,677342.73002891,345447.474748783
"P00111",906091.431565624,212910.115225153,513549.642298616,669400.379080339,655255.130544156,287823.987667054,353456.286107616,387619.624807235,715139.697899808,719073.092266853,167432.694617308,505914.798492339,1941343.78549065,2988731.66884044,531801.101508699
"P00112",995464.910915579,212514.38314111,543346.886063974,733389.011221951,460642.465619204,278639.990513438,291334.308647257,300528.144596555,722728.391338088,544661.669756233,139911.854043124,605659.805374883,914670.906266457,1313396.19277267,604534.163993049
"P00113",3506830.68090356,946545.722480998,1987823.96109011,2424250.03341967,2333883.4618389,1324882.95413643,673844.88020869,898107.431658791,2890414.11866651,1699623.13073107,463663.331200557,2518543.71055637,2771788.79175239,2333566.62900236,2824701.15521702
"P00114",1720501.47945875,475219.05116013,1103535.72854552,1179519.63918573,1017334.72693275,477868.011590824,547460.603670277,830721.825362072,1051631.43024961,1017217.74530816,271766.426901432,720952.934889545,2347931.32175053,3660833.88125496,1110330.31159833
"P00115",151235.358082432,49515.5227330031,114871.042002696,122693.246950768,153359.916100262,51958.1855338735,78316.7074033768,111330.808266831,157734.395805327,203444.79391392,35044.0982936286,132080.80507984,305660.361051094,677223.852726174,100638.48934681
"P00116",115173.607129964,30248.2682687115,54582.8946933064,66929.8679451257,50259.8932256816,30701.5149455949,26211.4811799299,32110.9348428725,82578.3878731209,67051.7458641116,14162.769425138,55078.0173510835,110594.410355029,136832.251439848,52985.1972423852
"P00117",889479.352065859,290629.755158395,401927.032127378,834475.819306523,524091.78291889,460868.066281302,126692.645025578,248482.327068624,829091.596371539,427767.105968286,162669.349725975,471940.442210012,713901.089204369,671669.558478142,618358.906941498
"P00118",868871.772564093,140627.687084179,456930.687520554,534304.854332982,481132.162966325,190197.339274353,204167.728888654,329101.987833379,509438.122655936,435975.560069976,124416.930856746,400767.691358429,841267.434331945,1374310.71822946,363885.27880322
"P00119",263307.563620818,61288.1978579288,139160.779065168,157850.809766088,152178.049542323,52974.2662527263,66783.1901173608,84976.9100127338,211808.839348183,130443.725238318,42162.6699585121,116047.000546422,281508.252257373,300739.554769029,129666.697498809
